fit_id,family,phase,tree_id,morphology_estimator,iod_subset,omitted_species,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,global_fit_pass,finite_ranking_row,release_gate_status,winner_claim_allowed_by_ranking_gate,absolute_genome_size_used,publication_claim_allowed,warning_count,model_label
data__published_main__te_iod__image_balanced_selected50__image_qc_pass__none,te_iod,data,published_main,image_balanced_selected50,image_qc_pass,,18,1,mediated_evenness,1,5,4.269886913638444,0.1182512764909103,19.269886913638445,0.0,1.0,0.9983823058756128,True,True,supported_unique_top_model,True,False,False,4,LTR → evenness → IOD
data__published_main__te_iod__image_balanced_selected50__image_qc_pass__none,te_iod,data,published_main,image_balanced_selected50,image_qc_pass,,18,2,ltr_only,2,4,21.725501251274324,0.00022727556491275447,32.802424328197404,13.53253741455896,0.0011519850349593,0.0011501214755369,False,True,supported_unique_top_model,True,False,False,4,LTR only
data__published_main__te_iod__image_balanced_selected50__image_qc_pass__none,te_iod,data,published_main,image_balanced_selected50,image_qc_pass,,18,3,additive_composition,1,5,20.87762700889931,2.927392106133464e-05,35.87762700889931,16.607740095260866,0.00024755691380325834,0.0002471564424383474,False,True,supported_unique_top_model,True,False,False,4,LTR + evenness
data__published_main__te_iod__image_balanced_selected50__image_qc_pass__none,te_iod,data,published_main,image_balanced_selected50,image_qc_pass,,18,4,evenness_only,2,4,25.147513922537755,4.698798309044072e-05,36.22443699946084,16.95455008582239,0.00020814511715220004,0.00020780840201916308,False,True,supported_unique_top_model,True,False,False,4,Evenness only
data__published_main__te_iod__image_balanced_selected50__image_qc_pass__none,te_iod,data,published_main,image_balanced_selected50,image_qc_pass,,18,5,proxy_null,3,3,34.11475227037535,6.392707509683682e-06,41.82903798466106,22.55915107102262,1.2628233010939892e-05,1.2607804392596704e-05,False,True,supported_unique_top_model,True,False,False,4,Null
data__published_main__terminal_internal_iod__image_balanced_selected50__image_qc_pass__none,terminal_internal_iod,data,published_main,image_balanced_selected50,image_qc_pass,,16,1,proxy_null,6,4,27.28711301401944,0.0070240979824373,38.92347665038308,0.0,1.0,0.6029631237714663,False,True,blocked_no_globally_supported_model,False,False,False,9,Null
data__published_main__terminal_internal_iod__image_balanced_selected50__image_qc_pass__none,terminal_internal_iod,data,published_main,image_balanced_selected50,image_qc_pass,,16,2,terminal_internal_only,5,5,24.45862397111439,0.0064718103331077,40.45862397111439,1.535147320731312,0.4641378592807303,0.2798580134925104,False,True,blocked_no_globally_supported_model,False,False,False,9,Terminal:internal only
data__published_main__terminal_internal_iod__image_balanced_selected50__image_qc_pass__none,terminal_internal_iod,data,published_main,image_balanced_selected50,image_qc_pass,,16,3,ltr_terminal_internal_chain,4,6,21.780968102088234,0.0053381982412328,43.11430143542157,4.190824785038487,0.1230195008698348,0.0741762225292822,False,True,blocked_no_globally_supported_model,False,False,False,9,LTR → terminal:internal → IOD
data__published_main__terminal_internal_iod__image_balanced_selected50__image_qc_pass__none,terminal_internal_iod,data,published_main,image_balanced_selected50,image_qc_pass,,16,4,terminal_internal_evenness_additive,4,6,23.115550071737527,0.0032190181977346,44.44888340507086,5.525406754687779,0.0631208978947379,0.0380595737698709,False,True,blocked_no_globally_supported_model,False,False,False,9,Terminal:internal + evenness
data__published_main__terminal_internal_iod__image_balanced_selected50__image_qc_pass__none,terminal_internal_iod,data,published_main,image_balanced_selected50,image_qc_pass,,16,5,te_terminal_internal_state,3,7,20.53121698121915,0.002226336167601,48.531216981219146,9.607740330836066,0.008197958120476,0.0049430664368699,False,True,blocked_no_globally_supported_model,False,False,False,9,TE state → terminal:internal → IOD
