species,te_sra_accession,te_assembly_accession,n_dnapipete_runs,run_labels,n_components,total_reads,total_aligned_bases,median_hitlength_contig_ratio,fraction_components_classified,mass_total_aligned_bases,order_retained_fraction,order_unresolved_fraction,superfamily_retained_fraction,superfamily_unresolved_fraction,mass_n_dnapipete_runs,dnapipete_source_labels,run_aggregation,display_species,configured_quantification_sample_bp,repeat_aligned_fraction_of_sample,retry_policy
catahoula,SRX21425399,GCA_034783935.1,1,"""SRX21425399""",241927,8725025,949140754,0.9852941176470588,0.955341900655983,949140754,0.9309975462290602,0.0690024537709398,0.7861545875628896,0.2138454124371104,1,"[""SRX21425399""]",single_active_run,D. catahoula,1500000000,0.6327605026666666,single_active_run
cheaha,SRX20502857,GCA_032353815.1,1,"""SRX20502857""",354776,7630635,1006947145,0.9785276073619632,0.939046045955758,1006947145,0.9394239466263148,0.0605760533736853,0.7975356978642608,0.2024643021357391,1,"[""SRX20502857""]",single_active_run,D. cheaha,1500000000,0.6712980966666666,single_active_run
conanti,SRX19953420,GCA_030264475.1,1,"""SRX19953420""",352109,7137840,960417008,0.9812206572769951,0.9551871721540772,960417008,0.9506995569574505,0.0493004430425496,0.7901276952396494,0.2098723047603505,1,"[""SRX19953420""]",single_active_run,D. conanti,1500000000,0.6402780053333333,single_active_run
fuscus,SRX20497025,GCA_032353935.1,1,"""SRX20497025""",331578,7356442,990148878,0.984126984126984,0.9558143181996392,990148878,0.9574237976362177,0.0425762023637823,0.8099705436418219,0.1900294563581781,1,"[""SRX20497025""]",single_active_run,D. fuscus,1500000000,0.660099252,single_active_run
gvnigeusgwotli,SRX20502827,GCA_032353775.1,1,"""SRX20502827""",339979,7453246,980250232,0.9609929078014184,0.91164454275117,980250232,0.9382053948853336,0.0617946051146662,0.794758943755088,0.2052410562449119,1,"[""SRX20502827""]",single_active_run,D. gvnigeusgwotli,1500000000,0.6535001546666667,single_active_run
intermedius,SRX20502776,GCA_032275315.1,1,"""SRX20502776""",354519,7513745,987592604,0.9703947368421052,0.9238968856394156,987592604,0.9444900662702816,0.0555099337297183,0.7886856704325825,0.2113143295674174,1,"[""SRX20502776""]",single_active_run,D. intermedius,1500000000,0.6583950693333334,single_active_run
kanawha,SRX20502939,GCA_032353855.1,1,"""SRX20502939""",309470,7341992,988054692,0.9757281553398058,0.9495459979965748,988054692,0.941429558030984,0.058570441969016,0.7886702945791992,0.2113297054208007,1,"[""SRX20502939""]",single_active_run,D. kanawha,1500000000,0.658703128,single_active_run
lycos,SRX21425400,GCA_035049765.1,1,"""SRX21425400""",311451,6996885,937201632,0.9842019881495412,0.9627902944604448,937201632,0.9482529859700458,0.0517470140299541,0.8104335802095572,0.1895664197904427,1,"[""SRX21425400""]",single_active_run,D. lycos,1500000000,0.624801088,single_active_run
marmoratus,SRX19954879,GCA_031753695.1,1,"""SRX19954879""",367672,7578648,1001497842,0.970954356846473,0.9246991884070584,1001497842,0.9467053399801536,0.0532946600198465,0.7841377275778494,0.2158622724221506,1,"[""SRX19954879""]",single_active_run,D. marmoratus,1500000000,0.667665228,single_active_run
mavrokoilius,SRX20503049,GCA_032354855.1,1,"""SRX20503049""",348196,7598060,1000741818,0.9710144927536232,0.9309612976599386,1000741818,0.9485967638458374,0.0514032361541626,0.7952295843801742,0.2047704156198257,1,"[""SRX20503049""]",single_active_run,D. mavrokoilius,1500000000,0.667161212,single_active_run
monticola,SRX19955091,GCA_031753675.1,1,"""SRX19955091""",398976,7486394,984736203,0.9777777777777776,0.9315272096567212,984736203,0.9507269491543208,0.0492730508456791,0.7941541314491511,0.2058458685508488,1,"[""SRX19955091""]",single_active_run,D. monticola,1500000000,0.656490802,single_active_run
ocoee,SRX19952863,GCA_030264995.1,1,"""SRX19952863""",353000,7148010,961075648,0.9818181818181818,0.9587592067988668,961075648,0.9564898766428842,0.0435101233571157,0.7977280119368918,0.2022719880631082,1,"[""SRX19952863""]",single_active_run,D. ocoee,1500000000,0.6407170986666667,single_active_run
orestes,SRX19952890,GCA_030264915.1,2,"[""SRX19952890"",""SRX19952890R2""]",369985,7404873,971682392,0.980343861682604,0.9425935517070612,971682392,0.9506928895233282,0.0493071104766718,0.8036468500247942,0.1963531499752058,2,"[""SRX19952890"", ""SRX19952890R2""]",equal_weight_mean_of_run_level_estimates,D. orestes,1500000000,0.6477882613333333,equal_weight_run_mean
organi,SRX19952929,GCA_030180145.1,1,"""SRX19952929""",342755,7447317,987535222,0.9382716049382716,0.8746334845589415,987535222,0.9163815313515976,0.0836184686484022,0.7313457747231622,0.2686542252768378,1,"[""SRX19952929""]",single_active_run,D. organi,1500000000,0.6583568146666666,single_active_run
pascagoula,SRX19953381,GCA_030264975.1,1,"""SRX19953381""",359113,7906874,1060009031,0.982843137254902,0.9441763456070932,1060009031,0.9629903464473408,0.0370096535526591,0.8019008745596244,0.1980991254403755,1,"[""SRX19953381""]",single_active_run,D. pascagoula,1500000000,0.7066726873333333,single_active_run
perlapsus,SRX20503048,GCA_032275285.1,1,"""SRX20503048""",342727,7209720,962858471,0.9801980198019802,0.9579752981235794,962858471,0.94612084064014,0.0538791593598598,0.8023648752839398,0.1976351247160601,1,"[""SRX20503048""]",single_active_run,D. perlapsus,1500000000,0.6419056473333333,single_active_run
santeetlah,SRX19955089,GCA_031753655.1,1,"""SRX19955089""",271549,8394683,905820596,0.9844961240310076,0.9513973537004372,905820596,0.955529391605929,0.044470608394071,0.8150667353560594,0.1849332646439405,1,"[""SRX19955089""]",single_active_run,D. santeetlah,1500000000,0.6038803973333333,single_active_run
tilleyi,SRX21394251,GCA_034782015.1,1,"""SRX21394251""",385819,7237155,944540821,0.9766536964980544,0.9303818629979342,944540821,0.9479859812220864,0.0520140187779136,0.8071426126325143,0.1928573873674857,1,"[""SRX21394251""]",single_active_run,D. tilleyi,1500000000,0.62969388066666665,single_active_run
valentinei,SRX19953382,GCA_030264875.1,1,"""SRX19953382""",343653,7951916,1068056457,0.9833333333333332,0.9463150328965556,1068056457,0.9635620975418157,0.0364379024581843,0.8083912993000144,0.1916087006999856,1,"[""SRX19953382""]",single_active_run,D. valentinei,1500000000,0.712037638,single_active_run
valtos,SRX20503015,GCA_032357565.1,1,"""SRX20503015""",323129,7528881,1018105694,0.9847770911498566,0.961287906687422,1018105694,0.9632446304735036,0.0367553695264963,0.8249338668368159,0.1750661331631841,1,"[""SRX20503015""]",single_active_run,D. valtos,1500000000,0.6787371293333333,single_active_run
welteri,SRX19958882,GCA_030264495.1,1,"""SRX19958882""",378809,7712751,1022938001,0.98125,0.9417067704304808,1022938001,0.957475111925185,0.042524888074815,0.8061630354858622,0.1938369645141378,1,"[""SRX19958882""]",single_active_run,D. welteri,1500000000,0.6819586673333333,single_active_run
wrighti,SRX19958881,GCA_030265035.1,1,"""SRX19958881""",315016,7002140,943924404,0.9509803921568628,0.9097442669578688,943924404,0.9212929343863008,0.0787070656136993,0.7471841781092461,0.2528158218907539,1,"[""SRX19958881""]",single_active_run,D. wrighti,1500000000,0.629282936,single_active_run
