species,adult_svl_min_mm,adult_svl_max_mm,adult_svl_mid_mm,adult_total_length_min_mm,adult_total_length_max_mm,adult_total_length_mid_mm,body_size_proxy_mm,body_size_proxy_measurement,body_size_proxy_source_id,body_size_source_detail,body_size_proxy_confidence,development_mode,development_source_id,development_source_detail,development_confidence,aquaticity_index,microhabitat_class,lifestyle_source_id,lifestyle_source_detail,lifestyle_confidence,elevation_min_m,elevation_max_m,elevation_mid_m,elevation_source_id,elevation_source_detail,organismal_source_ids
brimleyorum,,,,,,,128.0,amphibio_body_size_mm_measurement,amphibio_2017,AmphiBIO_v1.zip,low,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,2.0,stream_aquatic,amphibio_2017,AmphiBIO_v1.zip,low,,,,,,amphibio_2017
campi,17.0,57.0,37.0,,,,46.88800000000001,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,medium,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_campi.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_campi.html,medium,,900.0,,nc_biodiversity_amphibians,Desmognathus_campi.html,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1
carolinensis,,,,70.0,110.0,90.0,45.421,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,medium,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_carolinensis.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_carolinensis.html,medium,,,,,,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1
catahoula,,,,,,,58.064,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,medium,,,,,,,,,,,,,,,pyron_beamer_2023_conanti_fuscus_appendix_s1
cheaha,40.0,80.0,60.0,,,,60.0,manual_adult_svl_range_mid_mm,pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article,article summary excerpt accessed 2026-03-08,high,aquatic_larva,pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article,article summary excerpt accessed 2026-03-08,high,1.0,streamside,pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article,article summary excerpt accessed 2026-03-08,high,,,,,,pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article
conanti,,,,60.0,130.0,95.0,55.964,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,medium,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_conanti.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_conanti.html,medium,,,,,,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1
folkertsi,,,,,,,117.5,amphibio_body_size_mm_measurement,amphibio_2017,AmphiBIO_v1.zip,low,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_folkertsi.html,medium,1.0,streamside,amphibio_2017,AmphiBIO_v1.zip,low,,,,,,amphibio_2017;nc_biodiversity_amphibians
fuscus,,,,60.0,140.0,100.0,59.147,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,medium,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_fuscus.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_fuscus.html,medium,,,,,,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1
gvnigeusgwotli,,100.0,,,,,100.0,adult_svl_max_mm,nc_biodiversity_amphibians,Desmognathus_gvnigeusgwotli.html,medium,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_gvnigeusgwotli.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_gvnigeusgwotli.html,medium,490.0,1676.0,1083.0,nc_biodiversity_amphibians,Desmognathus_gvnigeusgwotli.html,nc_biodiversity_amphibians
imitator,,,,70.0,110.0,90.0,110.0,adult_total_length_max_mm,nc_biodiversity_amphibians,Desmognathus_imitator.html,low,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_imitator.html,medium,914.0,,,nc_biodiversity_amphibians,Desmognathus_imitator.html,amphibio_2017;nc_biodiversity_amphibians
intermedius,28.0,85.0,56.5,,,,56.5,adult_svl_range_mid_mm,nc_biodiversity_amphibians,Desmognathus_intermedius.html,high,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_intermedius.html,high,2.0,stream_aquatic,nc_biodiversity_amphibians,Desmognathus_intermedius.html,medium,300.0,1500.0,900.0,nc_biodiversity_amphibians,Desmognathus_intermedius.html,nc_biodiversity_amphibians
kanawha,,82.0,,,,,82.0,adult_svl_max_mm,nc_biodiversity_amphibians,Desmognathus_kanawha.html,medium,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_kanawha.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_kanawha.html,medium,490.0,1676.0,1083.0,nc_biodiversity_amphibians,Desmognathus_kanawha.html,nc_biodiversity_amphibians
lycos,,,,,,,60.115,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,medium,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_lycos.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_lycos.html,medium,,,,,,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1
marmoratus,,,,,,,114.5,amphibio_body_size_mm_measurement,amphibio_2017,AmphiBIO_v1.zip,low,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,2.0,stream_aquatic,nc_biodiversity_amphibians,Desmognathus_marmoratus.html,medium,450.0,1600.0,1025.0,nc_biodiversity_amphibians,Desmognathus_marmoratus.html,amphibio_2017;nc_biodiversity_amphibians
mavrokoilius,,83.0,,,,,83.0,adult_svl_max_mm,nc_biodiversity_amphibians,Desmognathus_mavrokoilius.html,medium,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_mavrokoilius.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_mavrokoilius.html,medium,490.0,1676.0,1083.0,nc_biodiversity_amphibians,Desmognathus_mavrokoilius.html,nc_biodiversity_amphibians
monticola,,,,75.0,150.0,112.5,150.0,adult_total_length_max_mm,nc_biodiversity_amphibians,Desmognathus_monticola.html,low,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_monticola.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_monticola.html,medium,,,,,,nc_biodiversity_amphibians
ochrophaeus,,,,,,,90.5,amphibio_body_size_mm_measurement,amphibio_2017,AmphiBIO_v1.zip,low,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,1.0,streamside,amphibio_2017,AmphiBIO_v1.zip,low,,,,,,amphibio_2017
ocoee,15.0,54.0,34.5,,,,110.0,amphibio_body_size_mm_measurement,amphibio_2017,AmphiBIO_v1.zip,low,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_ocoee.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_ocoee.html,medium,,,,,,amphibio_2017;nc_biodiversity_amphibians
orestes,,,,70.0,110.0,90.0,110.0,adult_total_length_max_mm,nc_biodiversity_amphibians,Desmognathus_orestes.html,low,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_orestes.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_orestes.html,medium,,,,,,nc_biodiversity_amphibians
organi,,,,40.0,60.0,50.0,60.0,adult_total_length_max_mm,nc_biodiversity_amphibians,Desmognathus_organi.html,low,direct_development,nc_biodiversity_amphibians,Desmognathus_organi.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_organi.html,medium,,,,,,nc_biodiversity_amphibians
pascagoula,,,,,,,,,,,,,,,,,,,,,,,,,,
perlapsus,22.0,56.0,39.0,,,,39.0,manual_adult_svl_range_mid_mm,pyron_beamer_2022_ocoee_treatmentbank,https://treatment.plazi.org/GgServer/xhtml/039087A5C5193F4AC4BA191F72C40EB6,high,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_perlapsus.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_perlapsus.html,medium,,,,,,nc_biodiversity_amphibians;pyron_beamer_2022_ocoee_treatmentbank
santeetlah,,,,,,,49.12199999999999,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,medium,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_santeetlah.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_santeetlah.html,medium,,,,,,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1
tilleyi,,,,,,,45.804,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,medium,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_tilleyi.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_tilleyi.html,medium,400.0,1300.0,850.0,nc_biodiversity_amphibians,Desmognathus_tilleyi.html,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1
valentinei,,62.0,,,,,62.0,manual_adult_svl_max_mm,pyron_oconnell_lamb_beamer_2022_pascagoula_treatmentbank,https://treatment.plazi.org/GgServer/xhtml/03CE87E1FFC1FA62FF44FB7CFC539344,medium,aquatic_larva,pyron_oconnell_lamb_beamer_2022_pascagoula_treatmentbank,https://treatment.plazi.org/GgServer/xhtml/03CE87E1FFC1FA62FF44FB7CFC539344,high,3.0,swamp_coastal_plain,louisianaherps_valentinei,https://www.louisianaherps.com/southern-dusky-salamander-d.html,high,,,,,,louisianaherps_valentinei;pyron_oconnell_lamb_beamer_2022_pascagoula_treatmentbank
valtos,17.2,62.4,39.8,80.0,160.0,120.0,39.8,transformed_or_mixed_stage_svl_range_mid_mm,nc_biodiversity_amphibians,Desmognathus_valtos.html,low,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_valtos.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_valtos.html,medium,,,,,,nc_biodiversity_amphibians
welteri,,,,,,,122.5,amphibio_body_size_mm_measurement,amphibio_2017,AmphiBIO_v1.zip,low,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,2.0,stream_aquatic,amphibio_2017,AmphiBIO_v1.zip,low,,,,,,amphibio_2017
wrighti,,,,,,,44.5,amphibio_body_size_mm_measurement,amphibio_2017,AmphiBIO_v1.zip,low,direct_development,nc_biodiversity_amphibians,Desmognathus_wrighti.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_wrighti.html,medium,,,,,,amphibio_2017;nc_biodiversity_amphibians
