species,filename,specimen_group,n_nuclei,image_median_iod,image_mean_iod,image_median_nucleus_area_um2,image_median_mean_od,image_median_match_log_edge_sharpness,image_median_match_log_relative_ring_noise
D. monticola,Process_312_raw_green.ome.tiff,3374,12,988.76817700,1018.33635508,43.98480000,0.32167300,0.10909421,0.11383511
D. monticola,Process_313_raw_green.ome.tiff,3375,24,949.57469200,963.96520333,40.86000000,0.33615900,0.11127579,0.10436997
D. ocoee,Process_353_raw_green.ome.tiff,3513,10,1014.90098450,998.01325950,42.50160000,0.33773250,0.10961836,0.11325468
D. ocoee,Process_364_raw_green.ome.tiff,3506,13,887.89434000,896.08050823,41.32800000,0.31983700,0.10873137,0.10854011
D. ocoee,Process_365_raw_green.ome.tiff,3507,12,985.69333800,975.21264142,44.06400000,0.33490200,0.10826207,0.10037918
D. perlapsus,Process_354_raw_green.ome.tiff,3517,16,938.00310100,944.36401913,44.47440000,0.30486800,0.10975188,0.10827786
D. perlapsus,Process_355_raw_green.ome.tiff,3518,7,796.56793500,831.00464329,38.11680000,0.29675900,0.10820678,0.09373246
D. perlapsus,Process_358_raw_green.ome.tiff,3599,10,750.24104600,759.12110860,34.68960000,0.30932700,0.11005172,0.11012818
D. tilleyi,Process_350_raw_green.ome.tiff,3360,20,966.81184050,952.75348650,40.03200000,0.34191900,0.11073298,0.11558644
D. tilleyi,Process_351_raw_green.ome.tiff,3356,16,946.11433050,947.30239000,42.12000000,0.31837300,0.10825828,0.09825066
D. valtos,Process_362_raw_green.ome.tiff,3458,15,1325.70537300,1318.72643247,50.77440000,0.38210800,0.11289565,0.11090066
D. valtos,Process_363_raw_green.ome.tiff,3459,22,1277.70181800,1271.93674141,49.88880000,0.36868000,0.10861147,0.10207479
D. welteri,Process_318_raw_green.ome.tiff,3392,9,919.20502100,906.01662278,48.91680000,0.25920700,0.11000308,0.10097595
D. welteri,Process_319_raw_green.ome.tiff,3393,29,807.57802300,807.38105397,45.87840000,0.25391700,0.10946866,0.10536052
