species,scientific_name,Genomic_TE_resource34,Finalized_path_analysis24,Integrated_TE_path_overlap21,manual_review_inclusion,decision_basis,te_sra_accession,te_assembly_accession,step01_phylogeny_tree_trimming,step02_panel_and_resource_provenance,step03_te_repeat_analysis,step04_ltr_deletion_footprint,step05_cell_modeling_and_measurement,step06_genome_size_estimation,step07_cell_nucleus_genome_path,has_tree_tip,step03_repeatmasker_hit_count,step03_repeatmasker_aligned_hit_bp,step03_dnapipete_runs,step03_dnapipete_total_aligned_bases,step03_te_genome_scatter_included,step04_ltr_resource_status,step04_ltr_tabout_elements,step04_ltr_selected_elements,step04_ltr_usable_elements,step04_ltr_source_corrupt_exclusions,step05_relative_iod_nuclei,step05_relative_iod_images,step05_relative_iod_specimens,step05_relative_iod_support,step05_sample_size_support,step05_relative_iod_quality_status,step06_genome_panel_status,step06_genome_nuclei,step06_genome_images,step05_finalized_size_cells,step05_finalized_size_images,step06_genome_size_pg_fuscus_anchored,step03_te_diversity_available,step03_te_pca_available,analysis_steps_with_data,analysis_steps_missing
brimleyorum,Desmognathus brimleyorum,False,True,False,False,finalized microscopy/IOD record; absent from active WGS lookup,,,True,True,False,False,True,True,True,True,,,,,False,,,,,,35.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,35.0,2.0,50.0,2.0,17.12522754089755,False,False,step01;step02;step05;step06;step07,step03;step04
campi,Desmognathus campi,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX21425398,GCA_033118305.1,True,True,True,True,True,True,True,True,196890.0,44702621.0,1.0,909283676.0,True,usable,307.0,16.0,16.0,0.0,36.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,36.0,2.0,50.0,2.0,14.874189310030431,True,True,step01;step02;step03;step04;step05;step06;step07,
carolinensis,Desmognathus carolinensis,True,False,False,False,active WGS resource; absent from finalized microscopy/IOD path panel,SRX19952691,GCA_031753635.1,False,True,True,True,False,False,False,True,316028.0,67476202.0,1.0,949707770.0,False,usable,192.0,9.0,9.0,0.0,,,,,,,,,,,,,True,True,step02;step03;step04,step01;step05;step06;step07
catahoula,Desmognathus catahoula,True,False,False,False,active WGS resource; absent from finalized microscopy/IOD path panel,SRX21425399,GCA_034783935.1,False,True,True,False,False,False,False,True,188488.0,42662975.0,1.0,949140754.0,False,missing_tabout,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,step02;step03,step01;step04;step05;step06;step07
cheaha,Desmognathus cheaha,True,False,False,False,active WGS resource; absent from finalized microscopy/IOD path panel,SRX20502857,GCA_032353815.1,False,True,True,True,False,False,False,True,288310.0,63303628.0,1.0,1006947145.0,False,usable,307.0,9.0,9.0,0.0,,,,,,,,,,,,,True,True,step02;step03;step04,step01;step05;step06;step07
conanti,Desmognathus conanti,True,False,False,False,active WGS resource; absent from finalized microscopy/IOD path panel,SRX19953420,GCA_030264475.1,False,True,True,True,False,False,False,True,304916.0,71941202.0,1.0,960417008.0,False,usable,447.0,8.0,8.0,0.0,,,,,,,,,,,,,True,True,step02;step03;step04,step01;step05;step06;step07
folkertsi,Desmognathus folkertsi,False,True,False,False,finalized microscopy/IOD record; genomic resource excluded as untrusted,,,True,True,False,False,True,True,True,True,,,,,False,,,,,,37.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,37.0,2.0,50.0,2.0,17.0403436756399,False,False,step01;step02;step05;step06;step07,step03;step04
fuscus,Desmognathus fuscus,True,True,True,False,active reidentified SRX20497025 resource and finalized microscopy/IOD record,SRX20497025,GCA_032353935.1,True,True,True,True,True,True,True,True,284064.0,67460615.0,1.0,990148878.0,True,usable,358.0,14.0,14.0,0.0,35.0,4.0,4.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,35.0,4.0,50.0,3.0,16.462167689161557,True,True,step01;step02;step03;step04;step05;step06;step07,
gvnigeusgwotli,Desmognathus gvnigeusgwotli,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX20502827,GCA_032353775.1,True,True,True,True,True,True,True,True,281269.0,61176993.0,1.0,980250232.0,True,usable,312.0,11.0,11.0,0.0,37.0,1.0,1.0,single_observed_image,meets_prior_minimum_30,common_support,finalized_included_common_support,37.0,1.0,50.0,1.0,15.549835646725457,True,True,step01;step02;step03;step04;step05;step06;step07,
intermedius,Desmognathus intermedius,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX20502776,GCA_032275315.1,True,True,True,True,True,True,True,True,292032.0,64042936.0,1.0,987592604.0,True,usable,337.0,12.0,12.0,0.0,35.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,35.0,2.0,50.0,1.0,18.114984885838414,True,True,step01;step02;step03;step04;step05;step06;step07,
kanawha,Desmognathus kanawha,True,True,True,False,active WGS and finalized microscopy/IOD record; terminal-internal proxy absent,SRX20502939,GCA_032353855.1,True,True,True,False,True,True,True,True,268383.0,62014534.0,1.0,988054692.0,True,missing_tabout,0.0,0.0,0.0,0.0,34.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,34.0,2.0,50.0,2.0,17.173842818194796,True,True,step01;step02;step03;step05;step06;step07,step04
lycos,Desmognathus lycos,True,False,False,False,active WGS resource; absent from finalized microscopy/IOD path panel,SRX21425400,GCA_035049765.1,False,True,True,False,False,False,False,True,266730.0,62881916.0,1.0,937201632.0,False,no_ltr_gypsy_ge5_domain_elements,358.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,step02;step03,step01;step04;step05;step06;step07
marmoratus,Desmognathus marmoratus,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX19954879,GCA_031753695.1,True,True,True,True,True,True,True,True,299001.0,65286883.0,1.0,1001497842.0,True,usable,484.0,5.0,5.0,0.0,37.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,37.0,2.0,50.0,2.0,17.981648967231447,True,True,step01;step02;step03;step04;step05;step06;step07,
mavrokoilius,Desmognathus mavrokoilius,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX20503049,GCA_032354855.1,True,True,True,True,True,True,True,True,286184.0,62613487.0,1.0,1000741818.0,True,usable,313.0,7.0,7.0,0.0,38.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,38.0,2.0,50.0,2.0,15.572980301119458,True,True,step01;step02;step03;step04;step05;step06;step07,
monticola,Desmognathus monticola,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX19955091,GCA_031753675.1,True,True,True,True,True,True,True,True,315144.0,67825868.0,1.0,984736203.0,True,usable,434.0,12.0,12.0,0.0,36.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,36.0,2.0,50.0,2.0,16.90311075311964,True,True,step01;step02;step03;step04;step05;step06;step07,
ochrophaeus,Desmognathus ochrophaeus,False,True,False,False,finalized microscopy/IOD record; genomic resource excluded as untrusted,,,True,True,False,False,True,True,True,True,,,,,False,,,,,,32.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,limited_overlap,finalized_included_limited_overlap,32.0,2.0,50.0,2.0,13.610931633194022,False,False,step01;step02;step05;step06;step07,step03;step04
ocoee,Desmognathus ocoee,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX19952863,GCA_030264995.1,True,True,True,True,True,True,True,True,302895.0,70449540.0,1.0,961075648.0,True,usable,422.0,10.0,10.0,0.0,35.0,3.0,3.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,35.0,3.0,50.0,2.0,16.792503380899344,True,True,step01;step02;step03;step04;step05;step06;step07,
orestes,Desmognathus orestes,True,True,True,True,active WGS and manually finalized microscopy/IOD record retained below the automatic 50-sample target,SRX19952890,GCA_030264915.1,True,True,True,True,True,True,True,True,300877.0,66141025.0,2.0,971682392.0,True,usable,349.0,13.0,13.0,0.0,22.0,3.0,3.0,multiple_observed_images,below_prior_minimum_30,common_support,finalized_included_common_support,22.0,3.0,50.0,2.0,14.151079260153878,True,True,step01;step02;step03;step04;step05;step06;step07,
organi,Desmognathus organi,True,False,False,False,active WGS resource; absent from finalized microscopy/IOD path panel,SRX19952929,GCA_030180145.1,False,True,True,True,False,False,False,True,267278.0,54642861.0,1.0,987535222.0,False,usable,240.0,14.0,14.0,0.0,,,,,,,,,,,,,True,True,step02;step03;step04,step01;step05;step06;step07
pascagoula,Desmognathus pascagoula,True,False,False,False,active WGS resource; absent from finalized microscopy/IOD path panel,SRX19953381,GCA_030264975.1,False,True,True,True,False,False,False,True,273300.0,58887119.0,1.0,1060009031.0,False,usable,344.0,3.0,3.0,0.0,,,,,,,,,,,,,True,True,step02;step03;step04,step01;step05;step06;step07
perlapsus,Desmognathus perlapsus,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX20503048,GCA_032275285.1,True,True,True,True,True,True,True,True,298833.0,70269625.0,1.0,962858471.0,True,usable,324.0,13.0,13.0,0.0,33.0,3.0,3.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,33.0,3.0,50.0,1.0,14.445691211966142,True,True,step01;step02;step03;step04;step05;step06;step07,
santeetlah,Desmognathus santeetlah,True,False,False,False,active WGS resource; absent from finalized microscopy/IOD path panel,SRX19955089,GCA_031753655.1,False,True,True,True,False,False,False,True,212213.0,48270500.0,1.0,905820596.0,False,usable,244.0,16.0,16.0,0.0,,,,,,,,,,,,,True,True,step02;step03;step04,step01;step05;step06;step07
tilleyi,Desmognathus tilleyi,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX21394251,GCA_034782015.1,True,True,True,True,True,True,True,True,307965.0,67198932.0,1.0,944540821.0,True,usable,414.0,54.0,54.0,0.0,36.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,36.0,2.0,50.0,2.0,16.681467168724154,True,True,step01;step02;step03;step04;step05;step06;step07,
valentinei,Desmognathus valentinei,True,False,False,False,active WGS resource; absent from finalized microscopy/IOD path panel,SRX19953382,GCA_030264875.1,False,True,True,True,False,False,False,True,261716.0,55727512.0,1.0,1068056457.0,False,usable,308.0,21.0,21.0,0.0,,,,,,,,,,,,,True,True,step02;step03;step04,step01;step05;step06;step07
valtos,Desmognathus valtos,True,True,True,False,active WGS and finalized microscopy/IOD record; terminal-internal proxy absent,SRX20503015,GCA_032357565.1,True,True,True,False,True,True,True,True,268289.0,62261942.0,1.0,1018105694.0,True,missing_tabout,0.0,0.0,0.0,0.0,37.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,37.0,2.0,50.0,2.0,22.702732725322136,True,True,step01;step02;step03;step05;step06;step07,step04
welteri,Desmognathus welteri,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX19958882,GCA_030264495.1,True,True,True,True,True,True,True,True,303515.0,66674232.0,1.0,1022938001.0,True,usable,365.0,23.0,23.0,0.0,38.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,38.0,2.0,50.0,2.0,15.058226027059543,True,True,step01;step02;step03;step04;step05;step06;step07,
wrighti,Desmognathus wrighti,True,True,True,True,active WGS and manually finalized microscopy/IOD record retained below the automatic 50-sample target,SRX19958881,GCA_030265035.1,True,True,True,True,True,True,True,True,270278.0,59514820.0,1.0,943924404.0,True,usable,276.0,16.0,16.0,0.0,9.0,3.0,3.0,multiple_observed_images,below_prior_minimum_30,limited_overlap,finalized_included_limited_overlap,9.0,3.0,8.0,2.0,14.794931237386981,True,True,step01;step02;step03;step04;step05;step06;step07,
