canonical_species,species,group,genome_size_gb,genome_size_ci_low_gb,genome_size_ci_high_gb,genome_size_pg,genome_size_ci_low_pg,genome_size_ci_high_pg,shannon_top10_superfamilies,genome_measurement_kind,is_direct_c_value,genome_support_tier,genome_support_warnings,genome_result_status,n_genome_images,n_genome_specimens,n_genome_nuclei,genome_source,shannon_source
gvnigeusgwotli,Desmognathus gvnigeusgwotli,Desmognathus,13.407797112,12.698645399999998,14.23139634,13.709404,12.9843,14.55153,1.552236665216488,fuscus_anchored_image_iod_genome_size_estimate,FALSE,limited,low_image_count; low_specimen_count,sensitivity_limited,1,1,50,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
intermedius,Desmognathus intermedius,Desmognathus,15.927020466,14.442990552,17.608201488,16.285297,14.767884,18.004296,1.532367213964158,fuscus_anchored_image_iod_genome_size_estimate,FALSE,medium,auto_dominant,minor_caution,2,2,50,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
kanawha,Desmognathus kanawha,Desmognathus,12.958989978,12.458837844,13.957648271999998,13.250501,12.739098,14.271624,1.4908742355468105,fuscus_anchored_image_iod_genome_size_estimate,FALSE,limited,low_image_count; low_specimen_count; auto_dominant,sensitivity_limited,1,1,45,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
marmoratus,Desmognathus marmoratus,Desmognathus,15.51975975,14.849598941999998,16.471219764,15.868875,15.183639,16.841738,1.5502855448225696,fuscus_anchored_image_iod_genome_size_estimate,FALSE,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,sensitivity_limited,1,1,20,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
mavrokoilius,Desmognathus mavrokoilius,Desmognathus,12.730398126,11.178172272,14.634755814,13.016767,11.429624,14.963963,1.5108330347256558,fuscus_anchored_image_iod_genome_size_estimate,FALSE,medium,auto_dominant,minor_caution,2,2,50,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
monticola,Desmognathus monticola,Desmognathus,13.7923428,12.892935858,14.359387199999999,14.1026,13.182961,14.6824,1.5187838550970565,fuscus_anchored_image_iod_genome_size_estimate,FALSE,limited,low_image_count; low_specimen_count; auto_dominant,sensitivity_limited,1,1,40,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
ocoee,Desmognathus ocoee,Desmognathus,14.57110953,13.85036265,15.636911436,14.898885,14.161925,15.988662,1.5347103646130167,fuscus_anchored_image_iod_genome_size_estimate,FALSE,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,sensitivity_limited,1,1,12,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
perlapsus,Desmognathus perlapsus,Desmognathus,10.489874454,10.03040223,11.607176862,10.725843,10.256035,11.868279,1.535033848148302,fuscus_anchored_image_iod_genome_size_estimate,FALSE,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,sensitivity_limited,1,1,21,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
tilleyi,Desmognathus tilleyi,Desmognathus,13.793578992,13.074772464,14.751583781999999,14.103864,13.368888,15.083419,1.5697624523593026,fuscus_anchored_image_iod_genome_size_estimate,FALSE,medium,auto_dominant,minor_caution,2,2,50,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
valtos,Desmognathus valtos,Desmognathus,19.33514313,18.525131256,20.411044842,19.770085,18.941852,20.870189,1.3891512419632972,fuscus_anchored_image_iod_genome_size_estimate,FALSE,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,sensitivity_limited,1,1,25,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
welteri,Desmognathus welteri,Desmognathus,11.483202648,11.002200732,12.190356306,11.741516,11.249694,12.464577,1.5017390103833976,fuscus_anchored_image_iod_genome_size_estimate,FALSE,limited,low_image_count; low_specimen_count; auto_dominant,sensitivity_limited,1,1,33,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
