species,scientific_name,panel_te_resource34,panel_cell_linked21,panel_integrated_path18,decision_basis,te_sra_accession,te_assembly_accession,step01_phylogeny_tree_trimming,step02_panel_and_resource_provenance,step03_te_repeat_analysis,step04_ltr_deletion_footprint,step05_cell_modeling_and_measurement,step06_genome_size_estimation,step07_cell_nucleus_genome_path,step08_integrated_phylogenetic_path,has_tree_tip,step03_repeatmasker_hit_count,step03_repeatmasker_aligned_hit_bp,step03_dnapipete_runs,step03_dnapipete_total_aligned_bases,step03_te_genome_scatter_included,step04_ltr_resource_status,step04_ltr_tabout_elements,step04_ltr_selected_elements,step04_ltr_usable_elements,step04_ltr_source_corrupt_exclusions,step05_cell_specimens,step05_cell_images,step05_cell_nucleus_pairs,step05_cell_support,step05_relative_iod_images,step05_relative_iod_specimens,step05_relative_iod_nuclei,step05_relative_iod_status,step06_genome_panel_status,step06_genome_nuclei,step06_genome_images,step05_finalized_size_cells,step05_finalized_size_images,step06_genome_size_pg_fuscus_anchored,step08_input_specifications,step08_ectopic_n_elements,step08_terminal_internal_proxy_available,step03_te_diversity_available,step03_te_pca_available,analysis_steps_with_data,analysis_steps_missing
marmoratus,Desmognathus marmoratus,True,True,True,active WGS and current linked-cell record,SRX19954879,GCA_031753695.1,True,True,True,True,True,True,True,True,True,299001,65286883,1,1001497842,True,usable,484,14,14,0,2,2,50,medium,1,1,20,sensitivity_limited,finalized_included_common_support,37,2,50,2,17.87005106,18,14,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
mavrokoilius,Desmognathus mavrokoilius,True,True,True,active WGS and current linked-cell record,SRX20503049,GCA_032354855.1,True,True,True,True,True,True,True,True,True,286184,62613487,1,1000741818,True,usable,313,27,27,0,2,2,50,medium,2,2,50,minor_caution,finalized_included_common_support,38,2,50,2,15.4763311,18,27,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
monticola,Desmognathus monticola,True,True,True,active WGS and current linked-cell record,SRX19955091,GCA_031753675.1,True,True,True,True,True,True,True,True,True,315144,67825868,1,984736203,True,usable,434,24,24,0,2,2,50,medium,1,1,40,sensitivity_limited,finalized_included_common_support,36,2,50,2,16.79820648,18,24,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
ochrophaeus,Desmognathus ochrophaeus,False,True,False,current linked-cell record; genomic resource excluded as untrusted,,,False,True,False,False,True,True,True,False,True,,,,,False,,,,,,2,2,50,medium,2,2,50,minor_caution,finalized_included_limited_overlap,32,2,50,2,13.52645932,,,False,False,False,step02;step05;step06;step07,step01;step03;step04;step08
ocoee,Desmognathus ocoee,True,True,True,active WGS and current linked-cell record,SRX19952863,GCA_030264995.1,True,True,True,True,True,True,True,True,True,302895,70449540,1,961075648,True,usable,422,34,34,0,3,3,50,medium,1,1,12,sensitivity_limited,finalized_included_common_support,35,3,50,2,16.68828556,18,34,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
orestes,Desmognathus orestes,True,False,False,active WGS resource; no current linked-cell record,SRX19952890,GCA_030264915.1,False,True,True,True,True,True,True,False,True,300877,66141025,2,971682392,False,usable,349,32,32,0,,,,,,,,,finalized_included_common_support,22,3,50,2,14.06325467,,,False,True,True,step02;step03;step04;step05;step06;step07,step01;step08
organi,Desmognathus organi,True,False,False,active WGS resource; legacy nucleus-only artifacts are not current linked microscopy,SRX19952929,GCA_030180145.1,False,True,True,True,False,False,False,False,True,267278,54642861,1,987535222,False,usable,240,21,21,0,,,,,,,,,,,,,,,,,False,True,True,step02;step03;step04,step01;step05;step06;step07;step08
pascagoula,Desmognathus pascagoula,True,False,False,active WGS resource; no current linked-cell record,SRX19953381,GCA_030264975.1,False,True,True,True,False,False,False,False,True,273300,58887119,1,1060009031,False,usable,344,17,17,0,,,,,,,,,,,,,,,,,False,True,True,step02;step03;step04,step01;step05;step06;step07;step08
perlapsus,Desmognathus perlapsus,True,True,True,active WGS and current linked-cell record,SRX20503048,GCA_032275285.1,True,True,True,True,True,True,True,True,True,298833,70269625,1,962858471,True,usable,324,44,44,0,3,3,50,medium,1,1,21,sensitivity_limited,finalized_included_common_support,33,3,50,1,14.3560382,18,44,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
santeetlah,Desmognathus santeetlah,True,False,False,active WGS resource; no current linked-cell record,SRX19955089,GCA_031753655.1,False,True,True,True,False,False,False,False,True,212213,48270500,1,905820596,False,usable_with_source_corrupt_exclusions,244,44,43,1,,,,,,,,,,,,,,,,,False,True,True,step02;step03;step04,step01;step05;step06;step07;step08
tilleyi,Desmognathus tilleyi,True,True,True,active WGS and current linked-cell record,SRX21394251,GCA_034782015.1,True,True,True,True,True,True,True,True,True,307965,67198932,1,944540821,True,usable,414,122,122,0,2,2,50,medium,2,2,50,minor_caution,finalized_included_common_support,36,2,50,2,16.57793846,18,122,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
valentinei,Desmognathus valentinei,True,False,False,active WGS resource; no current linked-cell record,SRX19953382,GCA_030264875.1,False,True,True,True,False,False,False,False,True,261716,55727512,1,1068056457,False,usable,308,70,70,0,,,,,,,,,,,,,,,,,False,True,True,step02;step03;step04,step01;step05;step06;step07;step08
valtos,Desmognathus valtos,True,True,True,active WGS and current linked-cell record; terminal-internal proxy absent,SRX20503015,GCA_032357565.1,True,True,True,False,True,True,True,True,True,268289,62261942,1,1018105694,True,missing_tabout,0,0,0,0,2,2,50,medium,1,1,25,sensitivity_limited,finalized_included_common_support,37,2,50,2,22.56183477,18,,False,True,True,step01;step02;step03;step05;step06;step07;step08,step04
welteri,Desmognathus welteri,True,True,True,active WGS and current linked-cell record,SRX19958882,GCA_030264495.1,True,True,True,True,True,True,True,True,True,303515,66674232,1,1022938001,True,usable,365,76,76,0,2,2,50,medium,1,1,33,sensitivity_limited,finalized_included_common_support,38,2,50,2,14.9647715,18,76,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
wrighti,Desmognathus wrighti,True,False,False,active WGS resource; legacy nucleus-only artifacts are not current linked microscopy,SRX19958881,GCA_030265035.1,False,True,True,True,True,True,True,False,True,270278,59514820,1,943924404,False,usable,276,38,38,0,,,,,,,,,finalized_included_limited_overlap,9,3,8,2,14.70311077,,,False,True,True,step02;step03;step04;step05;step06;step07,step01;step08
