"species","project_scientific_name","amphibiaweb_taxon","taxonomy_match","account_result","amphibiaweb_svl_reported","analysis_ready_direct_svl","direct_svl_text","direct_adult_svl_min_mm","direct_adult_svl_max_mm","female_adult_svl_min_mm","female_adult_svl_max_mm","male_adult_svl_min_mm","male_adult_svl_max_mm","sex_or_statistic","analysis_status","evidence_or_interpretation","amphibiaweb_url","account_access_basis","access_date"
"campi","Desmognathus campi","Desmognathus campi","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=campi","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"carolinensis","Desmognathus carolinensis","Desmognathus carolinensis","exact","length_only_not_svl",false,false,"","","","","","","","unspecified","exclude as SVL","French account gives 11 cm without naming SVL","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=carolinensis","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"catahoula","Desmognathus catahoula","Desmognathus catahoula","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=catahoula","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"cheaha","Desmognathus cheaha","Desmognathus cheaha","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=cheaha","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"conanti","Desmognathus conanti","Desmognathus conanti","exact","length_only_not_svl",false,false,"","","","","","","","unspecified","exclude as SVL","French account gives 12.7 cm without naming SVL","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=conanti","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"fuscus","Desmognathus fuscus","Desmognathus fuscus","exact","narrative_no_svl",false,false,"","","","","","","","","missing","Substantive account present; no SVL or body-length measurement","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=fuscus","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"gvnigeusgwotli","Desmognathus gvnigeusgwotli","Desmognathus gvnigeusgwotli","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=gvnigeusgwotli","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"intermedius","Desmognathus intermedius","Desmognathus intermedius","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=intermedius","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"kanawha","Desmognathus kanawha","Desmognathus kanawha","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=kanawha","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"lycos","Desmognathus lycos","Desmognathus lycos","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=lycos","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"marmoratus","Desmognathus marmoratus","Desmognathus marmoratus","exact","length_only_not_svl",false,false,"","","","","","","","unspecified","exclude as SVL","French account gives 15 cm and describes tail relative to total length; not SVL","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=marmoratus","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"mavrokoilius","Desmognathus mavrokoilius","Desmognathus mavrokoilius","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=mavrokoilius","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"monticola","Desmognathus monticola","Desmognathus monticola","exact","length_only_not_svl",false,false,"","","","","","","","unspecified","exclude as SVL","French account gives 15 cm and tail as half total length; not SVL","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=monticola","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"ocoee","Desmognathus ocoee","Desmognathus ocoee","exact","narrative_no_svl",false,false,"","","","","","","","","missing","Raffaelli narrative present; no SVL or body-length measurement","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=ocoee","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"orestes","Desmognathus orestes","Desmognathus orestes","exact","length_only_not_svl",false,false,"","","","","","","","unspecified","exclude as SVL","French account gives 11 cm without naming SVL","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=orestes","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"organi","Desmognathus organi","Desmognathus organi","exact","direct_svl_qc_hold",true,false,"40–60",40,60,"","","","","sex unspecified; ambiguous “average” range","QC hold: conflicts with curated 30.8 mm maximum","“snout to vent length on average measures 40 to 60 millimeters”","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=organi","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"pascagoula","Desmognathus pascagoula","Desmognathus pascagoula","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=pascagoula","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"perlapsus","Desmognathus perlapsus","Desmognathus perlapsus","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=perlapsus","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"santeetlah","Desmognathus santeetlah","Desmognathus santeetlah","exact","direct_svl",true,true,"F max 45; M max 55","",55,"",45,"",55,"sex-specific adult maximum","usable as maxima, not mean","“up to 45 mm SVL in adult females and 55 mm SVL in adult males”","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=santeetlah","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"tilleyi","Desmognathus tilleyi","Desmognathus tilleyi","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=tilleyi","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"valentinei","Desmognathus valentinei","Desmognathus valentinei","exact","direct_svl",true,true,"M 42–72; F 42–62",42,72,42,62,42,72,"sex-specific adult range","usable as ranges, not mean","Adults reported as 42–72 mm in males and 42–62 mm in females","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=valentinei","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"valtos","Desmognathus valtos","Desmognathus valtos","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=valtos","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"welteri","Desmognathus welteri","Desmognathus welteri","exact","direct_svl",true,true,"50–95",50,95,"","","","","adult range; sex unspecified","usable as range, not mean","Adults reported with SVL between 50 and 95 mm","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=welteri","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"wrighti","Desmognathus wrighti","Desmognathus wrighti","exact","direct_svl",true,true,"17–20",17,20,17,20,17,20,"both sexes; range","usable as range, not mean","Species reported as 17–20 mm SVL in both males and females","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=wrighti","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
