source_id,short_citation,full_reference,year,doi,url,source_type,taxonomic_scope,trait_blocks,access_date,notes,evidence_stream,sra_accessions,assembly_accession,biosample_accession,bioproject_accession,public_taxon_name,analysis_taxon_name,voucher_or_isolate,tree_tip,analysis_role,inclusion_decision,decision_basis_source_id,decision_date
pyron_oconnell_lamb_beamer_2022_pascagoula_article,Pyron_OConnell_Lamb_Beamer_2022_pascagoula,"A new, narrowly endemic species of swamp-dwelling dusky salamander (Plethodontidae: Desmognathus) from the Gulf Coastal Plain of Mississippi and Alabama",2022,10.11646/zootaxa.5133.1.3,https://doi.org/10.11646/zootaxa.5133.1.3,paper,gulf_coastal_plain,taxonomy|external_morphology|lifestyle,,Primary description source for Desmognathus pascagoula and comparative source for D. valentinei; not used as a body-size source
pyron_oconnell_lamb_beamer_2022_pascagoula_treatmentbank,Pyron_OConnell_Lamb_Beamer_2022_pascagoula_TreatmentBank,TreatmentBank XHTML rendering of the Desmognathus pascagoula treatment from Pyron et al. 2022,2022,10.11646/zootaxa.5133.1.3,https://treatment.plazi.org/GgServer/xhtml/03CE87E1FFC1FA62FF44FB7CFC539344,website,gulf_coastal_plain,development|lifestyle|taxonomy,2026-03-08,Stored locally as XHTML and used for traceable development and lifestyle extraction
pyron_oconnell_lamb_beamer_2022_pascagoula_dryad,Pyron_OConnell_Lamb_Beamer_2022_pascagoula_Dryad,"Dryad dataset for A new, narrowly endemic species of swamp-dwelling dusky salamander from the Gulf Coastal Plain of Mississippi and Alabama",2022,10.5061/dryad.0gb5mkm3d,https://datadryad.org/dataset/doi:10.5061/dryad.0gb5mkm3d,dataset,gulf_coastal_plain,external_morphology,,Repository-backed supplement linked to the pascagoula paper; not used as a body-size source
pyron_oconnell_lamb_beamer_2022_auriculatus_article,Pyron_OConnell_Lamb_Beamer_2022_auriculatus,"Allocation of Salamandra auriculata Holbrook 1838, with a new species of swamp-dwelling dusky salamander from Atlantic Coastal Plain",2022,10.11646/zootaxa.5188.6.6,https://doi.org/10.11646/zootaxa.5188.6.6,paper,auriculatus_complex,taxonomy|external_morphology|lifestyle,,Key revision for the auriculatus complex; not used as a body-size source
pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article,Pyron_OConnell_Duncan_Burbrink_Beamer_2023_monticola,"Speciation hypotheses from phylogeographic delimitation yield an integrative taxonomy for Seal Salamanders, Desmognathus monticola",2023,10.1093/sysbio/syac065,https://doi.org/10.1093/sysbio/syac065,paper,monticola_complex,taxonomy|development|lifestyle,,Primary revision for the monticola complex including D. cheaha; not used as a body-size source
louisianaherps_valentinei,Glorioso_LouisianaHerps_valentinei,Valentine's Southern Dusky Salamander species account on Amphibians and Reptiles of Louisiana,2026,,https://www.louisianaherps.com/southern-dusky-salamander-d.html,website,gulf_coastal_plain,development|lifestyle,2026-03-08,Secondary source used only as an explicitly labeled backfill for habitat and life-history details; not used as a body-size source
repo_dnapipete_order_breakdown,dnaPipeTE_order_breakdown,Repo-local dnaPipeTE order breakdown table,2026,,,local_repo_table,desmognathus_genomes,te_composition,,Primary order-level TE composition input used for TE path features
repo_dnapipete_superfamily_breakdown,dnaPipeTE_superfamily_breakdown,Repo-local dnaPipeTE superfamily breakdown table,2026,,,local_repo_table,desmognathus_genomes,te_composition,,Superfamily-level TE composition input used for overlap and QC summaries
repo_diversity_order_stats,diversity_order_stats,Repo-local TE order diversity summary table,2026,,,local_repo_table,desmognathus_genomes,te_diversity,,Order-level diversity and evenness input used for TE path features
repo_diversity_superfamily_stats,diversity_superfamily_stats,Repo-local TE superfamily diversity summary table,2026,,,local_repo_table,desmognathus_genomes,te_diversity,,Superfamily-level diversity input used in the master overlap table
repo_divergence_summary_statistics_by_species,divergence_summary_statistics_by_species,Repo-local TE divergence and indel summary statistics by species,2026,,,local_repo_table,desmognathus_genomes,te_turnover|dna_loss,,Primary TE turnover and deletion input used for TE path features
repo_ectopic_recombination_filtered_3000bp_5plusdomains,ectopic_recombination_filtered_3000bp_5plusdomains,Historical repo-local terminal-to-internal LTR proxy table,2026,,,historical_local_table,desmognathus_genomes,ltr_terminal_internal_proxy,,Retired as an analysis authority because its archived parser counted pipe-delimited fragments rather than whitespace-delimited TEsorter domain annotations. The current S14-S17 release preserves the historical rows for audit and derives the corrected LTR/Gypsy at-least-five-domain cohort. No active phylogenetic path model consumes this proxy.
repo_ltr_age_species_summary,ltr_age_species_summary,Repo-local LTR age species summary table,2026,,,local_generated_table,desmognathus_genomes,ltr_age,,Primary LTR age summary input used for LTR-history path features
repo_ltr_age_species_summary_calibrated,ltr_age_species_summary_calibrated,Repo-local calibrated LTR age species summary table,2026,,,local_generated_table,desmognathus_genomes,ltr_age,,Calibrated LTR age input used for LTR-history path features
repo_ltr_substitution_rate_candidates,ltr_substitution_rate_candidates,Repo-local LTR substitution-rate candidate table,2026,,,local_generated_table,desmognathus_genomes,ltr_age_calibration,,Substitution-rate sensitivity input used for LTR-history path features
repo_desmognathus_phylogeny_tree,Pyron_collaborator_dated_tree,Collaborator-provided time-calibrated Desmognathus phylogeny from Alex Pyron,2026,,,collaborator_dataset,desmognathus_phylogeny,phylogeny,2026-08-10,"Author confirmed that Alex Pyron directly provided the focal tree. The exact publication or archive identifier, calibration method, and branch-length provenance remain unresolved.",phylogeny,,,,,,,,,focal_tree_source,included_current,,2026-08-10
cellprofiler_final_species_results,cellprofiler_final_species_results,CellProfiler species-level genome summary table from cellprofiler_test,2026,,,local_generated_table,desmognathus_cellprofiler,genome_size,,Historical 21-species bridge retained for audit only; no longer used by the current Path24 master builder
cellprofiler_species_morphology_summary,cellprofiler_species_morphology_summary,CellProfiler species-level linked cell and nucleus morphology summary from cellprofiler_test,2026,,,local_generated_table,desmognathus_cellprofiler,cell_size|nucleus_size,,Historical 21-species bridge retained for audit only; no longer used by the current Path24 master builder
finalized_path24_relative_nuclear_iod,Path24_relative_nuclear_IOD,Finalized 24-species relative nuclear-IOD summary from frozen manually reviewed nuclei,2026,,,local_generated_table,desmognathus_path24,relative_nuclear_iod|conditional_fuscus_anchored_pg,,Primary current IOD input; relative_iod_index is the modeled phenotype and the explicitly named picogram conversion is conditional rather than an absolute C-value
finalized_path24_cell_nucleus_morphology,Path24_cell_nucleus_morphology,Finalized 24-species cell and nucleus morphology summary from frozen manually reviewed linked objects,2026,,,local_generated_table,desmognathus_path24,cell_size|nucleus_size,,Primary current morphology input; joined to the IOD and genomic streams at species level with no individual identity assertion
amphibiaweb,AmphibiaWeb,AmphibiaWeb species accounts,2026,,https://amphibiaweb.org/,website,global_amphibian,lifestyle|development|elevation,2026-03-08,Use for coarse habitat and development backfills with explicit access dates
felix_2001_welteri_thesis,Felix_2001_welteri_thesis,"Felix, Zachary Ira. 2001. A Natural History Study of Desmognathus welteri in West Virginia. Master's thesis, Marshall University.",2001,,https://mds.marshall.edu/etd/400/,thesis,welteri,development|lifestyle,2026-03-08,Marshall Digital Scholar landing page plus locally stored PDF provide development and stream-associated lifestyle evidence; not used as a body-size source
bruce_2014_reproductive_allometry_article,Bruce_2014_reproductive_allometry,"Bruce, Richard C. 2014. Reproductive allometry in three species of dusky salamanders. Copeia 2014(3):419-427.",2014,10.1643/CE-13-165,https://research.fs.usda.gov/treesearch/47960,paper,aeneus_ocoee_santeetlah,reproduction,2026-03-08,Retained for reproductive evidence; not used as a body-size source
bruce_2016_gompertz_dusky_salamanders_article,Bruce_2016_gompertz_desmognathus,"Bruce, Richard C. 2016. Application of the Gompertz function in studies of growth in dusky salamanders (Plethodontidae: Desmognathus). Copeia 104(1):94-100.",2016,10.1643/CE-14-204,https://www.srs.fs.usda.gov/pubs/ja/2016/ja_2016_bruce_001.pdf,paper,ocoee_monticola_quadramaculatus,growth,2026-03-08,Retained for growth evidence; not used as a body-size source
kozak_larson_bonett_harmon_2005_ecomorphology_article,Kozak_Larson_Bonett_Harmon_2005_ecomorphology,"Kozak, Kenneth H., Allan Larson, Ronald M. Bonett, and Luke J. Harmon. 2005. Phylogenetic analysis of ecomorphological divergence, community structure, and diversification rates in dusky salamanders (Plethodontidae: Desmognathus). Evolution 59(9):2000-2016.",2005,10.1111/j.0014-3820.2005.tb01069.x,https://biolinux2.wustl.edu/larsonlab/Kozak-Evolution_2005.pdf,paper,desmognathus_radiation,external_morphology|lifestyle,2026-03-08,Retained for ecomorphology and lifestyle evidence; not used as a body-size source
kessler_crawford_peterman_hocking_2024_wrighti_article,Kessler_etal_2024_wrighti_reproductive_ecology,"Kessler, Ethan J., John A. Crawford, William E. Peterman, and Daniel J. Hocking. 2024. Reproductive ecology of Southern Pygmy Salamanders (Desmognathus wrighti) along an elevational gradient. Herpetologica 80(2):117-123.",2024,10.1655/Herpetologica-D-23-00049,https://doi.org/10.1655/Herpetologica-D-23-00049,paper,wrighti,reproduction|elevation,2026-03-08,Retained for reproduction and elevation evidence; not used as a body-size source
vhs_northern_pygmy_salamander_organi,VHS_Northern_Pygmy_Salamander,Virginia Herpetological Society Northern Pygmy Salamander species account,2026,,https://virginiaherpetologicalsociety.com/amphibians/salamanders/pygmy-salamander/index.php,website,organi,lifestyle|reproduction,2026-03-08,Secondary source retained for habitat and reproduction notes; not used as a body-size source
canada_ochrophaeus_status_report,Canada_Allegheny_Mountain_Dusky_ochrophaeus,COSEWIC status report chapter for the Allegheny Mountain Dusky Salamander (Desmognathus ochrophaeus),2026,,https://www.canada.ca/en/environment-climate-change/services/species-risk-public-registry/cosewic-assessments-status-reports/allegheny-mountain-dusky-salamander/chapter-5.html,website,ochrophaeus,lifestyle,2026-03-08,Government-hosted secondary source retained for lifestyle evidence; not used as a body-size source
pyron_personal_communication_2026_07_09,Pyron_personal_communication_2026_07_09,Direct written guidance from Alex Pyron on Desmognathus genomic-resource identity and trust decisions,2026,,,personal_communication,desmognathus_genomic_resources,taxonomy|genomic_resource_identity,2026-07-09,"Identifies SRX20497025 / GCA_032353935.1 as actual D. fuscus despite the public D. planiceps label; identifies the older folkertsi-, fuscus-, imitator-, and ochrophaeus-labeled resources as untrusted.",genomic_resource_identity,,,,,,Desmognathus fuscus,,fuscus,decision_basis,not_applicable,,2026-07-09
myers_2025_fuscus_genome,Myers_etal_2025_fuscus_genome,"The first complete assembly for a lungless urodelan with a 'miniaturized' genome, the Northern Dusky Salamander (Plethodontidae: Desmognathus fuscus)",2025,10.1093/g3journal/jkaf157,https://doi.org/10.1093/g3journal/jkaf157,paper,Desmognathus fuscus,genome_assembly|te_annotation,2026-07-09,"Primary publication for aDesFus1-2.1; reports the pooled PacBio assembly as approximately 16.1 Gbp and notes that unresolved repetitive sequence may make the assembly slightly larger than the true genome. Selected by the author on 2026-08-12 as an assembly-derived conditional Feulgen anchor; 16.1 Gbp / 0.978 Gbp per pg = 16.462167689 pg/1C. This is not a direct cytometric C-value or a measurement of standards 32469/32470.",genomic,SRX22485065|SRX23816209,GCA_050004315.1,SAMN40589320,PRJNA1038779,Desmognathus fuscus,Desmognathus fuscus,AMNH A-194068|AMNH A-194069,fuscus,published_reference,validation_candidate,,2026-07-09
genomic_fuscus_srx20497025_gca032353935_1,Fuscus_current_reidentified_short_read,Current short-read genomic resource used for the D. fuscus comparative-analysis row,2023,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_032353935.1/,genomic_resource,Desmognathus fuscus,te_composition|repeatmasker|ltr_age|ectopic_recombination,2026-07-09,"NCBI labels the resource D. planiceps and voucher IRGN:RAP2245; the 2024 partial-genome paper reports a conflicting voucher. The expert identity decision is accession-specific and is not a general synonymy of D. planiceps with D. fuscus.",genomic,SRX20497025,GCA_032353935.1,SAMN34288323,,Desmognathus planiceps,Desmognathus fuscus,IRGN:RAP2245,fuscus,current_comparative_te_ltr_ectopic,included_current,pyron_personal_communication_2026_07_09,2026-07-09
genomic_fuscus_srx19953421_gca030265095_1,Fuscus_untrusted_short_read,Older short-read resource publicly labeled D. fuscus and excluded from the current analysis,2023,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030265095.1/,genomic_resource,Desmognathus fuscus,staged_raw_only,2026-07-09,"Some raw RepeatMasker and ectopic files are staged locally, but this resource contributes no current dnaPipeTE, LTR-age, filtered ectopic, or path-analysis row.",genomic,SRX19953421,GCA_030265095.1,SAMN34166933,,Desmognathus fuscus,Desmognathus fuscus,BMNH 2021.7517,fuscus,excluded_untrusted,excluded,pyron_personal_communication_2026_07_09,2026-07-09
genomic_fuscus_gca050004315_1,Fuscus_2025_pacbio_reference,Published 2025 PacBio chromosome-level D. fuscus assembly proposed for validation and sensitivity analysis,2025,10.1093/g3journal/jkaf157,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_050004315.1/,genomic_resource,Desmognathus fuscus,genome_assembly|te_annotation_validation,2026-07-09,"Reliable modern resource used only for the selected 16.1-Gbp assembly-derived conditional IOD scale. It remains separate from the short-read comparative TE branch and is not an independent cytometric C-value.",genomic,SRX22485065|SRX23816209,GCA_050004315.1,SAMN40589320,PRJNA1038779,Desmognathus fuscus,Desmognathus fuscus,AMNH A-194068|AMNH A-194069,fuscus,validation_and_sensitivity,validation_only,myers_2025_fuscus_genome,2026-07-09
pyron_personal_communication_reproductive_strategy,"Pyron, personal communication (date not recorded)",Direct written interpretation from Alex Pyron on Desmognathus reproductive-strategy groupings after review of the initial TE PCA,,,,personal_communication,Desmognathus initial TE-PCA species panel,reproductive_strategy,2026-08-10,"Exact email quote: ""2) the species are clustering by i) direct development (pigmys), ii) aquatic eggs (quad/marms), and iii) terrestrial eggs with aquatic larvae (the rest). These traits are also correlated with size."" Jake supplied this after noting that the message followed Alex Pyron's review of the initial PCA. Treat the biological categories as expert-vetted but the PCA interpretation as post hoc rather than an a priori test. Species assignments were transcribed from the supplied figure (SHA-256 d75b5d3da55cad2f200927d50526762b5901a7406f5930038683ba2fc80646e7). The figure labels planiceps; the active fuscus morphology row remains unassigned because the planiceps-to-fuscus rule is accession-specific. Original email date not yet recorded.",expert_reproductive_strategy_coding,,,,,,,,,post_hoc_descriptive_trait,included_for_explicitly_coded_species,,2026-08-10
hardie_gregory_hebert_2002_pixels_picograms,Hardie_etal_2002_From_pixels_to_picograms,"Hardie, David C., T. Ryan Gregory, and Paul D. N. Hebert. 2002. From pixels to picograms: A beginners' guide to genome quantification by Feulgen image analysis densitometry. Journal of Histochemistry & Cytochemistry 50(6):735-749.",2002,10.1177/002215540205000601,https://doi.org/10.1177/002215540205000601,paper,general_eukaryotic,feulgen_schiff_staining|image_analysis_densitometry,2026-08-10,Author-confirmed protocol source for Feulgen-Schiff staining of the microscopy slides.,microscopy_protocol,,,,,,,,,protocol_reference,included,,2026-08-10
author_curator_decision_2026_08_10_identity_resolution,Author_curator_identity_resolution_2026_08_10,Project-author clarification of source-label suffix handling,2026,,,author_curator_decision,Desmognathus source labels,species_identity|max_svl|phylogeny,2026-08-10,"Author clarification: tips that vary only by suffix get collapsed. Operationally, the exact collaborator-SVL aliases orestes-ac and orestes-b map to orestes and aggregate by the registered maximum rule. In the focal phylogeny, the exact unsuffixed orestes and fuscus representatives are retained while alternate tips are pruned; no generic suffix stripping, tip renaming, or MRCA merge is performed.",identity_resolution,,,,,,,,,decision_basis,included,,2026-08-10
author_curator_decision_2026_08_12_genome_size_anchor,Author_curator_genome_size_anchor_2026_08_12,Project-author selection of the published pooled D. fuscus assembly span as the conditional Feulgen calibration anchor,2026,,,author_curator_decision,Desmognathus fuscus,conditional_genome_size_anchor|microscopy_standard,2026-08-12,"Author confirmed that Process_413/specimen 32469 and Process_414/specimen 32470 were the intended D. fuscus standards and were stained in the same runs as the unknowns. The selected source value is the rounded 16.1-Gbp pooled assembly reported by Myers et al. 2025; using 1 pg = 0.978 Gbp gives 16.462167689 pg/1C. This is an assembly-derived conditional reference value, not a direct cytometric C-value. Absolute calibration remains unresolved until the exact target-to-run-to-standard map is recorded and the standard slides are reviewed under the same QC rules as the targets.",genome_size_calibration,,,,,,Desmognathus fuscus,32469|32470,fuscus,decision_basis,conditional_selected,myers_2025_fuscus_genome,2026-08-12
