source_id,short_citation,full_reference,year,doi,url,source_type,taxonomic_scope,trait_blocks,access_date,notes
pyron_oconnell_lamb_beamer_2022_pascagoula_dryad,Pyron_OConnell_Lamb_Beamer_2022_pascagoula_Dryad,"Dryad dataset for A new, narrowly endemic species of swamp-dwelling dusky salamander from the Gulf Coastal Plain of Mississippi and Alabama",2022,10.5061/dryad.0gb5mkm3d,https://datadryad.org/dataset/doi:10.5061/dryad.0gb5mkm3d,dataset,gulf_coastal_plain,body_size|external_morphology,,Repository-backed supplement linked to the pascagoula paper
pyron_oconnell_lamb_beamer_2022_auriculatus_article,Pyron_OConnell_Lamb_Beamer_2022_auriculatus,"Allocation of Salamandra auriculata Holbrook 1838, with a new species of swamp-dwelling dusky salamander from Atlantic Coastal Plain",2022,10.11646/zootaxa.5188.6.6,https://doi.org/10.11646/zootaxa.5188.6.6,paper,auriculatus_complex,taxonomy|body_size|external_morphology|lifestyle,,Key revision for the auriculatus complex
pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article,Pyron_OConnell_Duncan_Burbrink_Beamer_2023_monticola,"Speciation hypotheses from phylogeographic delimitation yield an integrative taxonomy for Seal Salamanders, Desmognathus monticola",2023,10.1093/sysbio/syac065,https://doi.org/10.1093/sysbio/syac065,paper,monticola_complex,taxonomy|body_size|development|lifestyle,,Primary revision for the monticola complex including D. cheaha
louisianaherps_valentinei,Glorioso_LouisianaHerps_valentinei,Valentine's Southern Dusky Salamander species account on Amphibians and Reptiles of Louisiana,2026,,https://www.louisianaherps.com/southern-dusky-salamander-d.html,website,gulf_coastal_plain,body_size|development|lifestyle,2026-03-08,Secondary source used only as an explicitly labeled backfill for habitat and life-history details; stored locally as HTML
repo_dnapipete_order_breakdown,dnaPipeTE_order_breakdown,Repo-local dnaPipeTE order breakdown table,2026,,,local_repo_table,desmognathus_genomes,te_composition,,Primary order-level TE composition input used for TE path features
repo_dnapipete_superfamily_breakdown,dnaPipeTE_superfamily_breakdown,Repo-local dnaPipeTE superfamily breakdown table,2026,,,local_repo_table,desmognathus_genomes,te_composition,,Superfamily-level TE composition input used for overlap and QC summaries
repo_diversity_order_stats,diversity_order_stats,Repo-local TE order diversity summary table,2026,,,local_repo_table,desmognathus_genomes,te_diversity,,Order-level diversity and evenness input used for TE path features
repo_diversity_superfamily_stats,diversity_superfamily_stats,Repo-local TE superfamily diversity summary table,2026,,,local_repo_table,desmognathus_genomes,te_diversity,,Superfamily-level diversity input used in the master overlap table
repo_divergence_summary_statistics_by_species,divergence_summary_statistics_by_species,Repo-local TE divergence and indel summary statistics by species,2026,,,local_repo_table,desmognathus_genomes,te_turnover|dna_loss,,Primary TE turnover and deletion input used for TE path features
repo_ectopic_recombination_filtered_3000bp_5plusdomains,ectopic_recombination_filtered_3000bp_5plusdomains,Repo-local ectopic recombination summary table filtered to 3000 bp and at least 5 domains,2026,,,local_repo_table,desmognathus_genomes,ectopic_recombination,,Primary ectopic recombination proxy input used for path features and overlap tables
repo_desmognathus_phylogeny_tree,desmo900dated_test_tree,Repo-local dated Desmognathus phylogeny used for comparative analyses,2026,,,local_repo_table,desmognathus_phylogeny,phylogeny,,Tree topology source used for species-overlap gating and phylopath analysis
cellprofiler_final_species_results,cellprofiler_final_species_results,CellProfiler species-level genome summary table from cellprofiler_test,2026,,,local_generated_table,desmognathus_cellprofiler,genome_size,,Current genome-size input used for overlap tables and provisional path-model staging
cellprofiler_species_morphology_summary,cellprofiler_species_morphology_summary,CellProfiler species-level linked cell and nucleus morphology summary from cellprofiler_test,2026,,,local_generated_table,desmognathus_cellprofiler,cell_size|nucleus_size,,Current morphology input used for provisional nucleotypic path-model staging
amphibiaweb,AmphibiaWeb,AmphibiaWeb species accounts,2026,,https://amphibiaweb.org/,website,global_amphibian,lifestyle|development|elevation,2026-03-08,Use for coarse habitat and development backfills with explicit access dates
felix_2001_welteri_thesis,Felix_2001_welteri_thesis,"Felix, Zachary Ira. 2001. A Natural History Study of Desmognathus welteri in West Virginia. Master's thesis, Marshall University.",2001,,https://mds.marshall.edu/etd/400/,thesis,welteri,body_size|development|lifestyle,2026-03-08,Marshall Digital Scholar landing page plus locally stored PDF provide a stable source for adult SVL and stream-associated lifestyle of D. welteri
bruce_2014_reproductive_allometry_article,Bruce_2014_reproductive_allometry,"Bruce, Richard C. 2014. Reproductive allometry in three species of dusky salamanders. Copeia 2014(3):419-427.",2014,10.1643/CE-13-165,https://research.fs.usda.gov/treesearch/47960,paper,aeneus_ocoee_santeetlah,body_size|reproduction,2026-03-08,US Forest Service mirror and local PDF used for adult female SVL data in D. aeneus
bruce_2016_gompertz_dusky_salamanders_article,Bruce_2016_gompertz_desmognathus,"Bruce, Richard C. 2016. Application of the Gompertz function in studies of growth in dusky salamanders (Plethodontidae: Desmognathus). Copeia 104(1):94-100.",2016,10.1643/CE-14-204,https://www.srs.fs.usda.gov/pubs/ja/2016/ja_2016_bruce_001.pdf,paper,ocoee_monticola_quadramaculatus,body_size|growth,2026-03-08,Direct PDF access used to recover observed maximum SVL for D. ocoee from a large Wolf Creek dataset
kozak_larson_bonett_harmon_2005_ecomorphology_article,Kozak_Larson_Bonett_Harmon_2005_ecomorphology,"Kozak, Kenneth H., Allan Larson, Ronald M. Bonett, and Luke J. Harmon. 2005. Phylogenetic analysis of ecomorphological divergence, community structure, and diversification rates in dusky salamanders (Plethodontidae: Desmognathus). Evolution 59(9):2000-2016.",2005,10.1111/j.0014-3820.2005.tb01069.x,https://biolinux2.wustl.edu/larsonlab/Kozak-Evolution_2005.pdf,paper,desmognathus_radiation,body_size|external_morphology|lifestyle,2026-03-08,Locally stored PDF used for adult-only mean SVL values in Table 2 across 24 Desmognathus lineages
kessler_crawford_peterman_hocking_2024_wrighti_article,Kessler_etal_2024_wrighti_reproductive_ecology,"Kessler, Ethan J., John A. Crawford, William E. Peterman, and Daniel J. Hocking. 2024. Reproductive ecology of Southern Pygmy Salamanders (Desmognathus wrighti) along an elevational gradient. Herpetologica 80(2):117-123.",2024,10.1655/Herpetologica-D-23-00049,https://doi.org/10.1655/Herpetologica-D-23-00049,paper,wrighti,body_size|reproduction|elevation,2026-03-08,NOAA-hosted PDF used for adult female and male SVL ranges across 19 Great Smoky Mountains sites
vhs_northern_pygmy_salamander_organi,VHS_Northern_Pygmy_Salamander,Virginia Herpetological Society Northern Pygmy Salamander species account,2026,,https://virginiaherpetologicalsociety.com/amphibians/salamanders/pygmy-salamander/index.php,website,organi,body_size|lifestyle|reproduction,2026-03-08,Secondary source used only as an explicitly labeled backfill for adult SVL and habitat notes in D. organi; stored locally as HTML
canada_ochrophaeus_status_report,Canada_Allegheny_Mountain_Dusky_ochrophaeus,COSEWIC status report chapter for the Allegheny Mountain Dusky Salamander (Desmognathus ochrophaeus),2026,,https://www.canada.ca/en/environment-climate-change/services/species-risk-public-registry/cosewic-assessments-status-reports/allegheny-mountain-dusky-salamander/chapter-5.html,website,ochrophaeus,body_size|lifestyle,2026-03-08,Government-hosted secondary source used as an explicitly labeled backfill for adult SVL range in D. ochrophaeus; stored locally as HTML
