species,te_sra_accession,te_assembly_accession,analysis_branch,n_elements,ratio_arithmetic_mean,ratio_median,ratio_geometric_mean,ratio_trimmed_mean_10pct,ratio_winsorized_mean_5pct,ratio_q05,ratio_q95,ratio_max,fraction_ratio_gt_1,median_bootstrap_ci_low,median_bootstrap_ci_high,geometric_mean_bootstrap_ci_low,geometric_mean_bootstrap_ci_high,max_abs_leave_one_out_mean_shift,max_abs_leave_one_out_median_shift,largest_element_fraction_of_ratio_sum,median_terminal_positive_coverage_fraction,median_internal_positive_coverage_fraction
campi,SRX21425398,GCA_033118305.1,all_5plus_domain_elements,33,1.0609412921542907,0.681557875595686,0.7438831983896688,0.8664236236524367,0.9845669488859382,0.28364067005914684,2.7445991617778125,5.537373557996343,0.3333333333333333,0.5113595150255502,0.9816317288100315,0.5572819081509397,1.004528625443717,0.13988850830756427,0.036730252561914756,0.15816068237521214,1.0,1.0
carolinensis,SRX19952691,GCA_031753635.1,all_5plus_domain_elements,37,0.8023068912693391,0.6157837910710777,0.6238754034007149,0.6765539801428619,0.7555633758181817,0.2270295347959525,2.1302926615879985,3.653938169592756,0.1891891891891892,0.5429138384233395,0.7890228634845398,0.49716825285526367,0.7814831806847692,0.07921197995342821,0.01613231617658073,0.12308891614831764,1.0,1.0
cheaha,SRX20502857,GCA_032353815.1,all_5plus_domain_elements,27,1.0033980928732604,0.6618496281375521,0.7131408736717484,0.8505550105401072,0.9398203571282693,0.19390419314552695,2.71228800687488,4.545234616274851,0.2222222222222222,0.5628089968523498,0.8361103689454407,0.5239218651072612,0.9929909366519369,0.1362244816692918,0.007553322283310848,0.16777191826520427,1.0,1.0
conanti,SRX19953420,GCA_030264475.1,all_5plus_domain_elements,25,0.7783761159945211,0.6895277809782697,0.6881294187597021,0.6864039271383131,0.7198513942439999,0.3530576124891507,1.4378435806085614,2.8887146689909295,0.12,0.6046415036850906,0.7066079008483389,0.5810441776310927,0.8385362935291264,0.08793077304151686,0.0100718681115054,0.14844826862653956,1.0,1.0
fuscus,SRX20497025,GCA_032353935.1,all_5plus_domain_elements,34,0.9322965848252222,0.7050489107809894,0.7644807406708499,0.7744067115474795,0.8312846442509871,0.365136762976895,1.8528885687565666,5.2288543872639455,0.17647058823529413,0.6322895791194789,0.9029393633079977,0.6455043777185973,0.9273712684763666,0.13019872128602195,0.018224521059551413,0.16495805886531142,1.0,1.0
gvnigeusgwotli,SRX20502827,GCA_032353775.1,all_5plus_domain_elements,27,0.7429514922008833,0.5132832219481414,0.5939479840741797,0.5826332584925515,0.6943492514664589,0.30314403060640865,2.370288391526445,3.1842270020278183,0.14814814814814814,0.46589295300795774,0.6290836014743354,0.4881673696214578,0.7535564187957257,0.09389521191642058,0.0017442466965147396,0.15873759545064617,1.0,1.0
intermedius,SRX20502776,GCA_032275315.1,all_5plus_domain_elements,24,3.114000607503766,0.6458576374745597,0.8004003748354176,0.7216341168834054,0.9163204156055453,0.3666002273258658,3.4129035911066268,56.06620307343128,0.16666666666666666,0.5710053101617185,0.846854315810038,0.5500736533510447,1.3127161835534822,2.3022696724316307,0.004442947257119023,0.7501898969117263,1.0,1.0
marmoratus,SRX19954879,GCA_031753695.1,all_5plus_domain_elements,14,1.2234510001111707,0.5123653913026819,0.6361630241593748,1.009180398778611,1.1690958681135228,0.2111459179853109,4.0460314502606805,4.988388843857374,0.2857142857142857,0.4100395052219107,1.078267554976431,0.3311692608441029,1.15810272905838,0.2896106033650925,0.04502713460971253,0.2912364196151528,1.0,1.0
mavrokoilius,SRX20503049,GCA_032354855.1,all_5plus_domain_elements,27,0.7428501563554486,0.5792901095449556,0.6177558190074508,0.6507029223224793,0.6772886137670645,0.2692870384789671,1.3910256406678914,3.2173502440932813,0.14814814814814814,0.49863547022262494,0.7328088192102029,0.50147457810327,0.7766022345940776,0.09517308029760885,0.028143238581183283,0.16041070885173947,1.0,1.0
monticola,SRX19955091,GCA_031753675.1,all_5plus_domain_elements,24,0.6888121823264196,0.6275350329808433,0.6239255133883563,0.6528703322165554,0.6687786637097078,0.2926469308642904,1.2039937114866495,1.6952102876973727,0.16666666666666666,0.5126173361264703,0.7566837552377009,0.5248774523159836,0.7523059480195016,0.04375643936395457,0.01887682802555135,0.10254429843100257,1.0,1.0
ocoee,SRX19952863,GCA_030264995.1,all_5plus_domain_elements,34,1.1680619038434283,0.6598876855735157,0.7360709738536901,0.7167000304773442,0.8508607817188801,0.30997206443183845,2.6721831273631604,13.397042913363618,0.20588235294117646,0.5523018182760322,0.7488493693817834,0.5809062218821669,0.9648288970341975,0.3705751821066723,0.0014307951397777297,0.33733715021946026,1.0,1.0
orestes,SRX19952890,GCA_030264915.1,all_5plus_domain_elements,32,0.992110282079543,0.7086140567425118,0.7945303008676047,0.8364596379514364,0.9575632459742923,0.3523301191793936,2.617505631795859,3.7209721737633026,0.28125,0.5652535545400801,0.7944993900430685,0.6434574628281682,1.0009548072753531,0.08802780295754065,0.008502382782633267,0.11720509557301449,1.0,1.0
organi,SRX19952929,GCA_030180145.1,all_5plus_domain_elements,21,0.5793429246047511,0.5348472735475608,0.536564657971865,0.5788444374894377,0.5838553980306443,0.3366035732451172,0.8737003874164283,0.9275271178300075,0.0,0.4473247827603212,0.7231515251120596,0.44980613933247177,0.6368883515089568,0.019566401185848403,0.026830325947471145,0.07623802089589359,1.0,1.0
pascagoula,SRX19953381,GCA_030264975.1,all_5plus_domain_elements,17,0.7291780638842892,0.6555950378495783,0.5814922426049766,0.7115868071414378,0.7220874245489902,0.16767444177732882,1.4340096684339396,1.6742024070593413,0.23529411764705882,0.48091811370134857,0.8753681226370583,0.3831102399739837,0.8134935416499892,0.059064021448440696,0.05350056578083584,0.1350595957430369,1.0,1.0
perlapsus,SRX20503048,GCA_032275285.1,all_5plus_domain_elements,44,0.9317016104391928,0.5520895833827612,0.6473253431946433,0.6577144678298992,0.8311012102314211,0.2620838747894423,3.333401577925794,7.138155886510686,0.18181818181818182,0.47374848999370384,0.7367742561556442,0.519053053112927,0.8100001093129962,0.1443361459551511,0.02218334492431573,0.17412314606394422,1.0,1.0
santeetlah,SRX19955089,GCA_031753655.1,all_5plus_domain_elements,43,0.8556186178775131,0.607333858300323,0.6459055656013339,0.6962056495791844,0.735538147729843,0.31747861493100465,1.5057711884709002,6.5839228483412064,0.20930232558139536,0.5292453309795737,0.8109746488228613,0.51262273287203,0.8011691024191366,0.1363881959634211,0.01044620357629189,0.17895179189177435,1.0,1.0
tilleyi,SRX21394251,GCA_034782015.1,all_5plus_domain_elements,122,0.7044358804667266,0.5737035668086977,0.6160149383476828,0.6329014540172784,0.6664709432984525,0.27991361233764356,1.348135705558671,3.8541518823336056,0.13114754098360656,0.5465284846008169,0.640777469524607,0.5656526295828443,0.6724846123862369,0.02603071075923047,0.0007117969081099629,0.04484639375645648,1.0,1.0
valentinei,SRX19953382,GCA_030264875.1,all_5plus_domain_elements,70,0.8082305635966266,0.5714354261197612,0.6747147490189301,0.6838734312118891,0.7713784332964493,0.346863002851455,2.0594908375221443,3.2378246799334085,0.21428571428571427,0.5234170753909143,0.7050932807995096,0.5960824674687993,0.76756192428057,0.03521150893241698,0.009534779949452177,0.05722950896453335,1.0,1.0
welteri,SRX19958882,GCA_030264495.1,all_5plus_domain_elements,76,0.880894525793417,0.5978278055435946,0.6815146067674583,0.6721617173945528,0.7579804143927553,0.3088675784906034,2.1241325785718383,6.230717419596628,0.19736842105263158,0.5425222480354964,0.6802770783232175,0.5978906579992939,0.7906475653085495,0.07133097191737603,0.004268019576051829,0.09306803657136946,1.0,1.0
wrighti,SRX19958881,GCA_030265035.1,all_5plus_domain_elements,38,1.0286757832405515,0.709207574891078,0.7229193868713996,0.7429773733327335,0.784059480127433,0.2684075311649424,1.7479378591380834,10.925968965136455,0.18421052631578946,0.5936530090843151,0.7967026131052646,0.5928303381577323,0.9067535484386658,0.267494410321511,0.011510421119542702,0.2795103216844191,1.0,1.0
abditus,SRX19952928,GCA_030264455.1,coverage_ge_80pct,81,0.5983472847935108,0.56174339205752,0.5509326240612361,0.5792944321892365,0.5948225669864116,0.2853497932988358,1.0487345478928816,1.251926322769839,0.06172839506172839,0.48536217926042335,0.6158569030336867,0.5032918064675734,0.6011591018435505,0.008169737974704216,0.009601332694453846,0.02583095289444911,1.0,1.0
adatsihi,SRX20502416,GCA_032275005.1,coverage_ge_80pct,44,0.8157050037586603,0.6357462497656823,0.6446051774259911,0.6875144715659536,0.733536231848488,0.2810938103655496,1.6138493176380757,4.826165134011986,0.25,0.5521992137297438,0.7167961871730743,0.5309980465763466,0.7840718892085549,0.09326651465705393,0.029272046596514167,0.1344672041021308,1.0,1.0
aeneus,SRX19953415,GCA_030264635.1,coverage_ge_80pct,27,0.6974182748067336,0.5762817186320965,0.6221359868777615,0.6534719815355186,0.6854812882593654,0.3191240399729395,1.4199455638700296,1.6486949222821314,0.18518518518518517,0.48784694709519544,0.8186435653942237,0.5221009013485457,0.7375202031948789,0.036587563364438136,0.017263040081677672,0.08755545575036693,1.0,1.0
amphileucus,SRX20502537,GCA_032360725.1,coverage_ge_80pct,25,0.8365710019574871,0.7277679194210502,0.7416102922760557,0.7643597719245525,0.8252832489687656,0.37326430550731554,1.9169987013944543,2.1197049124463088,0.24,0.5747922587768837,0.9239940752999939,0.6234213550825395,0.8911525414410739,0.05346391293703423,0.009397206321906992,0.10135206252602229,1.0,1.0
anicetus,SRX21425396,GCA_033119125.1,coverage_ge_80pct,26,0.6898321524404033,0.5689092873051061,0.5989369671874977,0.6422749901283985,0.6568844824150193,0.2741097279013204,1.2003636520815495,2.1552505354865272,0.15384615384615385,0.4875633234347429,0.8068650290039817,0.48734246024669586,0.731305385090195,0.05861673532184486,0.028149623191263462,0.12016582739962663,1.0,1.0
apalachicolae,SRX19952657,GCA_030264955.1,coverage_ge_80pct,12,0.6123236036572438,0.5803427918437141,0.5440445242847264,0.6025334401231512,0.6098554980584074,0.2538334435127372,1.0390981319566401,1.1239155213529226,0.08333333333333333,0.37291015945467254,0.8780561077169824,0.409700794340664,0.7202311414128213,0.04650835615415272,0.0053794810929235215,0.1529577272866937,1.0,1.0
aureatus,SRX20502577,GCA_032274985.1,coverage_ge_80pct,23,1.0045854756665846,0.7821588896892184,0.7552740074464372,0.8318539861088651,0.9798088997404166,0.44212871095418527,2.923060768026388,3.7864516818656098,0.2608695652173913,0.6545707379901193,0.8876743588078422,0.5136687082288829,1.039899372984755,0.12644846391813758,0.03801654647939712,0.16387688054609703,1.0,1.0
auriculatus,SRX19953419,GCA_030264895.1,coverage_ge_80pct,13,0.7459345632514253,0.7094433907699379,0.6740120865287087,0.7285204208696132,0.7372234317830718,0.3411468489812627,1.2290331346329264,1.4282666928647862,0.3076923076923077,0.44830309631076626,1.0304962821156445,0.5203252580339186,0.8558414657545386,0.0568610108011135,0.006630883404177168,0.14728727437298667,1.0,1.0
bairdi,SRX21425397,GCA_034783875.1,coverage_ge_80pct,32,0.5804023147668821,0.5432169726335889,0.49232862273354083,0.5713135109960634,0.5797592691062757,0.19437182464319083,1.0258522738681133,1.2421762232909552,0.09375,0.4350362221592316,0.7083841573104068,0.3865806209452161,0.6073810924256721,0.021347545436260495,0.023310194737498402,0.0668812063463833,1.0,1.0
balsameus,SRX20502826,GCA_032353675.1,coverage_ge_80pct,34,0.9176400227400631,0.6358147574658882,0.6468564935562875,0.7444947406052508,0.838715259347997,0.21286629784189268,2.350950662637922,5.122753668415022,0.20588235294117646,0.4679532498886084,0.7108908861648477,0.4928787002466037,0.8471913644519093,0.1274276862325744,0.0014458677180144708,0.16419208165280505,1.0,1.0
campi,SRX21425398,GCA_033118305.1,coverage_ge_80pct,33,1.0609412921542907,0.681557875595686,0.7438831983896688,0.8664236236524367,0.9845669488859382,0.28364067005914684,2.7445991617778125,5.537373557996343,0.3333333333333333,0.511500101350991,1.092129366666156,0.5408965612689607,1.008657995870779,0.13988850830756427,0.036730252561914756,0.15816068237521214,1.0,1.0
carolinensis,SRX19952691,GCA_031753635.1,coverage_ge_80pct,37,0.8023068912693391,0.6157837910710777,0.6238754034007149,0.6765539801428619,0.7555633758181817,0.2270295347959525,2.1302926615879985,3.653938169592756,0.1891891891891892,0.5429138384233395,0.7890228634845398,0.4931009197536203,0.7873102157485445,0.07921197995342821,0.01613231617658073,0.12308891614831764,1.0,1.0
cheaha,SRX20502857,GCA_032353815.1,coverage_ge_80pct,27,1.0033980928732604,0.6618496281375521,0.7131408736717484,0.8505550105401072,0.9398203571282693,0.19390419314552695,2.71228800687488,4.545234616274851,0.2222222222222222,0.5628089968523498,0.8361103689454407,0.5264295341639084,0.9811288617358345,0.1362244816692918,0.007553322283310848,0.16777191826520427,1.0,1.0
conanti,SRX19953420,GCA_030264475.1,coverage_ge_80pct,25,0.7783761159945211,0.6895277809782697,0.6881294187597021,0.6864039271383131,0.7198513942439999,0.3530576124891507,1.4378435806085614,2.8887146689909295,0.12,0.5866198919600154,0.7354211716148624,0.5810722608601662,0.8370758433680963,0.08793077304151686,0.0100718681115054,0.14844826862653956,1.0,1.0
fuscus,SRX20497025,GCA_032353935.1,coverage_ge_80pct,34,0.9322965848252222,0.7050489107809894,0.7644807406708499,0.7744067115474795,0.8312846442509871,0.365136762976895,1.8528885687565666,5.2288543872639455,0.17647058823529413,0.6327500287386684,0.9029393633079977,0.6419022028724207,0.9274614665574326,0.13019872128602195,0.018224521059551413,0.16495805886531142,1.0,1.0
gvnigeusgwotli,SRX20502827,GCA_032353775.1,coverage_ge_80pct,27,0.7429514922008833,0.5132832219481414,0.5939479840741797,0.5826332584925515,0.6943492514664589,0.30314403060640865,2.370288391526445,3.1842270020278183,0.14814814814814814,0.46589295300795774,0.6290836014743354,0.48658939102739096,0.7505987556965255,0.09389521191642058,0.0017442466965147396,0.15873759545064617,1.0,1.0
intermedius,SRX20502776,GCA_032275315.1,coverage_ge_80pct,24,3.114000607503766,0.6458576374745597,0.8004003748354176,0.7216341168834054,0.9163204156055453,0.3666002273258658,3.4129035911066268,56.06620307343128,0.16666666666666666,0.5710053101617185,0.833871188938423,0.5571818911919368,1.2722880648379356,2.3022696724316307,0.004442947257119023,0.7501898969117263,1.0,1.0
marmoratus,SRX19954879,GCA_031753695.1,coverage_ge_80pct,14,1.2234510001111707,0.5123653913026819,0.6361630241593748,1.009180398778611,1.1690958681135228,0.2111459179853109,4.0460314502606805,4.988388843857374,0.2857142857142857,0.4121120489623958,1.078267554976431,0.33514473864424765,1.1701519305969648,0.2896106033650925,0.04502713460971253,0.2912364196151528,1.0,1.0
mavrokoilius,SRX20503049,GCA_032354855.1,coverage_ge_80pct,27,0.7428501563554486,0.5792901095449556,0.6177558190074508,0.6507029223224793,0.6772886137670645,0.2692870384789671,1.3910256406678914,3.2173502440932813,0.14814814814814814,0.49863547022262494,0.7328088192102029,0.49807226981456987,0.7786527277945366,0.09517308029760885,0.028143238581183283,0.16041070885173947,1.0,1.0
monticola,SRX19955091,GCA_031753675.1,coverage_ge_80pct,24,0.6888121823264196,0.6275350329808433,0.6239255133883563,0.6528703322165554,0.6687786637097078,0.2926469308642904,1.2039937114866495,1.6952102876973727,0.16666666666666666,0.5126173361264703,0.7566837552377009,0.5276672484229236,0.7398413348431716,0.04375643936395457,0.01887682802555135,0.10254429843100257,1.0,1.0
ocoee,SRX19952863,GCA_030264995.1,coverage_ge_80pct,33,1.1970193859484288,0.6613184807132935,0.7643146539832303,0.7294150247725069,0.870407391538563,0.36582056186461887,2.6906526150455172,13.397042913363618,0.21212121212121213,0.5652312145706941,0.7488493693817834,0.6138151793811815,0.9899588502380233,0.3812507352317247,0.01627469023080441,0.33915156441095895,1.0,1.0
orestes,SRX19952890,GCA_030264915.1,coverage_ge_80pct,32,0.992110282079543,0.7086140567425118,0.7945303008676047,0.8364596379514364,0.9575632459742923,0.3523301191793936,2.617505631795859,3.7209721737633026,0.28125,0.5579223547248299,0.7924376318962086,0.647385133810089,0.988538061540307,0.08802780295754065,0.008502382782633267,0.11720509557301449,1.0,1.0
organi,SRX19952929,GCA_030180145.1,coverage_ge_80pct,21,0.5793429246047511,0.5348472735475608,0.536564657971865,0.5788444374894377,0.5838553980306443,0.3366035732451172,0.8737003874164283,0.9275271178300075,0.0,0.4473247827603212,0.7231515251120596,0.4467798104056388,0.6364860991633486,0.019566401185848403,0.026830325947471145,0.07623802089589359,1.0,1.0
pascagoula,SRX19953381,GCA_030264975.1,coverage_ge_80pct,17,0.7291780638842892,0.6555950378495783,0.5814922426049766,0.7115868071414378,0.7220874245489902,0.16767444177732882,1.4340096684339396,1.6742024070593413,0.23529411764705882,0.48091811370134857,0.8753681226370583,0.37386498212961605,0.8287656658360597,0.059064021448440696,0.05350056578083584,0.1350595957430369,1.0,1.0
perlapsus,SRX20503048,GCA_032275285.1,coverage_ge_80pct,44,0.9317016104391928,0.5520895833827612,0.6473253431946433,0.6577144678298992,0.8311012102314211,0.2620838747894423,3.333401577925794,7.138155886510686,0.18181818181818182,0.47374848999370384,0.6889477886399713,0.5201879329509908,0.8130952884331807,0.1443361459551511,0.02218334492431573,0.17412314606394422,1.0,1.0
santeetlah,SRX19955089,GCA_031753655.1,coverage_ge_80pct,42,0.8584129280099042,0.6061262462631888,0.6438536296245404,0.6949688277339516,0.7356006077654476,0.317294626858724,1.5077360985707262,6.5839228483412064,0.21428571428571427,0.532299785844372,0.8428739561062195,0.5136402234574824,0.7935582782116124,0.13964658342271463,0.0012076120371342647,0.18261615442007778,1.0,1.0
tilleyi,SRX21394251,GCA_034782015.1,coverage_ge_80pct,121,0.7085525941203895,0.5744153637168077,0.6216091360689241,0.6355529054605847,0.6699917965533799,0.2863871153097284,1.3482249762805147,3.8541518823336056,0.1322314049586777,0.5465284846008169,0.640777469524607,0.5681431882170032,0.6825052721670347,0.026213327401776843,0.0007117969081099629,0.04495431272093688,1.0,1.0
valentinei,SRX19953382,GCA_030264875.1,coverage_ge_80pct,70,0.8082305635966266,0.5714354261197612,0.6747147490189301,0.6838734312118891,0.7713784332964493,0.346863002851455,2.0594908375221443,3.2378246799334085,0.21428571428571427,0.5267186058643301,0.7050902176407124,0.5947952176919069,0.7728623151607195,0.03521150893241698,0.009534779949452177,0.05722950896453335,1.0,1.0
welteri,SRX19958882,GCA_030264495.1,coverage_ge_80pct,76,0.880894525793417,0.5978278055435946,0.6815146067674583,0.6721617173945528,0.7579804143927553,0.3088675784906034,2.1241325785718383,6.230717419596628,0.19736842105263158,0.5425069888235903,0.6802770783232175,0.5953124006148524,0.7864442069879809,0.07133097191737603,0.004268019576051829,0.09306803657136946,1.0,1.0
wrighti,SRX19958881,GCA_030265035.1,coverage_ge_80pct,38,1.0286757832405515,0.709207574891078,0.7229193868713996,0.7429773733327335,0.784059480127433,0.2684075311649424,1.7479378591380834,10.925968965136455,0.18421052631578946,0.5871360094301248,0.7966145865932422,0.5892791078881991,0.9145886933113843,0.267494410321511,0.011510421119542702,0.2795103216844191,1.0,1.0
abditus,SRX19952928,GCA_030264455.1,coverage_ge_80pct_and_complete_yes,19,0.5928040632719607,0.5623005022812002,0.543660349927837,0.5803704933250815,0.5861918264445087,0.278749976099113,0.9925963398201654,1.1776271943392584,0.05263157894736842,0.39004138780375297,0.6811560828712575,0.4511808448815071,0.654825593143161,0.0324901739481831,0.01945114829973038,0.10455457796179093,1.0,1.0
adatsihi,SRX20502416,GCA_032275005.1,coverage_ge_80pct_and_complete_yes,4,0.7298683983843278,0.8137475461606203,0.5618337145237513,0.7298683983843279,0.7424502705507717,0.22243573377198406,1.1198702561098623,1.1614424296940558,0.25,0.13053607152201518,1.1614424296940558,0.21059455968751434,1.0387828286428484,0.19977744228743766,0.0705470596388128,0.3978259752939986,1.0,1.0
aeneus,SRX19953415,GCA_030264635.1,coverage_ge_80pct_and_complete_yes,9,0.6811550699881201,0.5762817186320965,0.6425359700732072,0.6811550699881201,0.6830967562920168,0.42733487458353064,1.028142090480738,1.0510082954201112,0.1111111111111111,0.48784694709519544,0.9938427830716777,0.5208978610397573,0.813035367713449,0.0462316531789988,0.017263040081677672,0.1714421644004796,1.0,1.0
amphileucus,SRX20502537,GCA_032360725.1,coverage_ge_80pct_and_complete_yes,10,0.8402839176673602,0.710737354301558,0.7453214251298997,0.7439497873744474,0.8079777215924215,0.4288805072783882,1.6992984096502481,2.0783988909565587,0.2,0.5035909650241798,1.005284788843331,0.5644810185289314,1.0097426044951359,0.13756833036546645,0.03216534872845256,0.2473448375313695,1.0,1.0
anicetus,SRX21425396,GCA_033119125.1,coverage_ge_80pct_and_complete_yes,4,0.4945175031453508,0.49903207685216366,0.47262124497950997,0.4945175031453508,0.4951946892013727,0.320395374640002,0.6623192284611616,0.6891107104949695,0.0,0.29089514838210656,0.6891107104949695,0.334812351982516,0.6320108108563105,0.0678741182544148,0.011468753417420763,0.3483752880898651,1.0,1.0
aureatus,SRX20502577,GCA_032274985.1,coverage_ge_80pct_and_complete_yes,7,0.6899684861521628,0.7821588896892184,0.6642308415343818,0.689968486152163,0.6883570581659768,0.45417381099748966,0.9122535841479819,0.9416012301162411,0.0,0.496331661149055,0.8437757435553772,0.5342923296633019,0.8066718969076904,0.0423103875366051,0.1256808727355545,0.19495739898983158,1.0,1.0
auriculatus,SRX19953419,GCA_030264895.1,coverage_ge_80pct_and_complete_yes,3,1.075957449515047,1.0304962821156445,1.0421925093602207,1.075957449515047,1.0714113327751067,0.7952480644198034,1.388489651789872,1.4282666928647862,0.6666666666666666,0.76910937356471,1.4282666928647862,0.76910937356471,1.4282666928647862,0.17615462167486973,0.19888520537457088,0.4424792986341394,1.0,1.0
bairdi,SRX21425397,GCA_034783875.1,coverage_ge_80pct_and_complete_yes,6,0.4168457966783102,0.3539271948104681,0.35413309189692993,0.4168457966783102,0.4067694292945845,0.1698423702830978,0.7872260292437193,0.8763324463595955,0.0,0.19849058309661943,0.698119612127843,0.22849030123500685,0.5494840795648503,0.09189732993625704,0.073448896097973,0.35038234495936077,1.0,1.0
balsameus,SRX20502826,GCA_032353675.1,coverage_ge_80pct_and_complete_yes,5,0.5993663058178637,0.4310080673907082,0.5516878439759989,0.5993663058178637,0.5936028762990337,0.3721613199985111,0.9539761322420177,0.9934004190105613,0.0,0.36155418082411683,0.9934004190105613,0.39556140641039667,0.7980156213440882,0.09850852829817436,0.1826354588885678,0.3314835716882748,1.0,1.0
campi,SRX21425398,GCA_033118305.1,coverage_ge_80pct_and_complete_yes,11,0.7249323518026896,0.6788051714873998,0.49238188069818867,0.6378463585819685,0.67942212468379,0.08516592483505081,1.6478602194489245,2.203591072231693,0.18181818181818182,0.43908842247490365,0.7962783353810733,0.23953405665759053,0.8795004569281178,0.14786587204290025,0.02737822058804429,0.2763381446749068,1.0,1.0
carolinensis,SRX19952691,GCA_031753635.1,coverage_ge_80pct_and_complete_yes,4,0.9949544046246501,0.855895245211252,0.7185905476220752,0.9949544046246501,0.9740955307126402,0.267792013574648,1.916799618853409,2.028270895928736,0.5,0.2397562321473602,2.028270895928736,0.3198354884242657,1.6144936813478925,0.34443883043469536,0.42923380354863994,0.5096391569556165,0.9965635738831615,1.0
cheaha,SRX20502857,GCA_032353815.1,coverage_ge_80pct_and_complete_yes,3,0.760321870259371,0.5827000764891674,0.7177628643325977,0.7603218702593709,0.7425596908823507,0.5578992129035467,1.0870797832543377,1.1431219728949122,0.3333333333333333,0.5551435613940333,1.1431219728949122,0.5551435613940333,1.1431219728949122,0.19140005131777071,0.2802109482028724,0.5011570395859477,1.0,1.0
