species,filename,n_rows,image_median_edge_sharpness,image_q10_edge_sharpness,image_median_contrast_snr,image_q10_contrast_snr,image_median_local_od_contrast,image_median_focus_rank,image_median_keep_probability,image_median_nuc_iod,image_iod_quality_score,image_iod_qc_status,image_iod_qc_pass,image_iod_qc_sharp_floor,image_iod_qc_snr_floor,image_iod_qc_q10_floor
D. folkertsi,Process_366_raw_green.ome.tiff,31,0.133241,0.120674,1.583334,1.217392,0.102478,0.497619,0.930938,927.301622,0.569767,fail,False,0.119555,2.053333,0.106279
D. folkertsi,Process_367_raw_green.ome.tiff,19,0.130539,0.117678,1.8,1.454667,0.104977,0.497619,0.929982,911.959791,0.553488,fail,False,0.119555,2.053333,0.106279
D. fuscus,Process_314_raw_green.ome.tiff,23,0.126778,0.113294,2.399999,1.919323,0.142821,0.497619,0.964741,1090.342087,0.683721,pass,True,0.119555,2.053333,0.106279
D. fuscus,Process_315_raw_green.ome.tiff,24,0.112203,0.103742,2.53125,1.767857,0.115719,0.497619,0.958722,1042.543044,0.252326,fail,False,0.119555,2.053333,0.106279
D. fuscus,Process_320_raw_green.ome.tiff,2,0.127294,0.123557,1.904589,1.758696,0.140396,0.497619,0.977324,870.736447,0.602326,limited,False,0.119555,2.053333,0.106279
D. fuscus,Process_321_raw_green.ome.tiff,1,0.133452,0.133452,2.31579,2.31579,0.113039,0.497619,0.979444,810.470694,0.747674,limited,False,0.119555,2.053333,0.106279
D. gvnigeusgwotli,Process_345_raw_green.ome.tiff,50,0.123175,0.108558,2.732143,1.870833,0.136288,0.497619,0.928115,908.70074,0.515116,pass,True,0.119555,2.053333,0.106279
D. intermedius,Process_335_raw_green.ome.tiff,27,0.124443,0.1113,2.26087,1.659774,0.167029,0.497619,0.957454,1015.777664,0.544186,pass,True,0.119555,2.053333,0.106279
D. intermedius,Process_336_raw_green.ome.tiff,23,0.124704,0.11021,2.533333,1.848351,0.154902,0.497619,0.958363,1158.937238,0.632558,pass,True,0.119555,2.053333,0.106279
D. kanawha,Process_339_raw_green.ome.tiff,5,0.124972,0.105308,2.190476,1.889608,0.148318,0.497619,0.909037,958.53666,0.469767,limited,False,0.119555,2.053333,0.106279
D. kanawha,Process_341_raw_green.ome.tiff,45,0.122998,0.111967,2.133335,1.486572,0.119186,0.497619,0.959801,883.103816,0.398837,pass,True,0.119555,2.053333,0.106279
D. marmoratus,Process_333_raw_green.ome.tiff,20,0.128038,0.109872,2.53492,1.459394,0.150085,0.497619,0.901569,1059.256453,0.704651,pass,True,0.119555,2.053333,0.106279
D. marmoratus,Process_334_raw_green.ome.tiff,30,0.119369,0.108918,2.322917,1.624405,0.119954,0.497619,0.927064,1020.321889,0.30814,fail,False,0.119555,2.053333,0.106279
D. mavrokoilius,Process_317_raw_green.ome.tiff,18,0.121998,0.110338,2.305555,1.7975,0.126726,0.497619,0.929548,943.361551,0.387209,pass,True,0.119555,2.053333,0.106279
D. mavrokoilius,Process_340_raw_green.ome.tiff,32,0.125871,0.116061,2.299999,1.637727,0.114691,0.497619,0.959655,791.642073,0.565116,pass,True,0.119555,2.053333,0.106279
D. monticola,Process_312_raw_green.ome.tiff,10,0.13237,0.125946,1.742423,1.258498,0.100736,0.497619,0.91907,958.484878,0.587209,limited,False,0.119555,2.053333,0.106279
D. monticola,Process_313_raw_green.ome.tiff,40,0.130333,0.117485,2.090074,1.584343,0.13304,0.497619,0.960925,938.167395,0.65814,pass,True,0.119555,2.053333,0.106279
D. ochrophaeus,Process_316_raw_green.ome.tiff,44,0.106331,0.096338,2.33436,1.749123,0.097889,0.497619,0.920617,764.260869,0.180233,fail,False,0.119555,2.053333,0.106279
D. ochrophaeus,Process_322_raw_green.ome.tiff,6,0.119047,0.114675,2.035714,1.798611,0.125841,0.497619,0.856673,724.906644,0.288372,limited,False,0.119555,2.053333,0.106279
D. ocoee,Process_353_raw_green.ome.tiff,12,0.129334,0.123725,2.3125,1.861539,0.150495,0.497619,0.979944,1005.986856,0.767442,pass,True,0.119555,2.053333,0.106279
D. ocoee,Process_364_raw_green.ome.tiff,5,0.125003,0.122256,2.473684,1.874726,0.150386,0.497619,0.977269,921.65529,0.732558,limited,False,0.119555,2.053333,0.106279
D. ocoee,Process_365_raw_green.ome.tiff,33,0.124932,0.109187,2.05,1.571428,0.130929,0.497619,0.969378,993.702075,0.42093,fail,False,0.119555,2.053333,0.106279
D. perlapsus,Process_354_raw_green.ome.tiff,24,0.122885,0.110224,2.037346,1.640741,0.129797,0.497619,0.968041,864.805983,0.34186,fail,False,0.119555,2.053333,0.106279
D. perlapsus,Process_355_raw_green.ome.tiff,5,0.133956,0.126753,2.052631,1.842104,0.118766,0.497619,0.960478,800.844607,0.697674,limited,False,0.119555,2.053333,0.106279
D. perlapsus,Process_358_raw_green.ome.tiff,21,0.127898,0.11578,2.626865,2.1,0.131613,0.497619,0.967634,714.843375,0.739535,pass,True,0.119555,2.053333,0.106279
D. tilleyi,Process_350_raw_green.ome.tiff,35,0.124694,0.112641,2.263157,1.698873,0.137933,0.497619,0.964127,966.035668,0.538372,pass,True,0.119555,2.053333,0.106279
D. tilleyi,Process_351_raw_green.ome.tiff,15,0.125631,0.114549,2.785716,1.88,0.139297,0.497619,0.942888,907.181802,0.722093,pass,True,0.119555,2.053333,0.106279
D. valtos,Process_362_raw_green.ome.tiff,25,0.120217,0.111683,2.787879,1.852899,0.180287,0.497619,0.954029,1317.613462,0.583721,pass,True,0.119555,2.053333,0.106279
D. valtos,Process_363_raw_green.ome.tiff,25,0.119624,0.101181,2.363637,1.815384,0.170487,0.497619,0.939233,1254.189606,0.404651,fail,False,0.119555,2.053333,0.106279
D. welteri,Process_318_raw_green.ome.tiff,17,0.117102,0.108171,1.842107,1.70303,0.117183,0.497619,0.960537,921.625289,0.130233,fail,False,0.119555,2.053333,0.106279
D. welteri,Process_319_raw_green.ome.tiff,33,0.127741,0.116099,2.083334,1.582608,0.118449,0.497619,0.931174,782.534812,0.555814,pass,True,0.119555,2.053333,0.106279
